FID,FID_gz_201,GEO_ID,STATE,PLACE,NAME,LSAD,CENSUSAREA,FID_gz_202,GEO_ID_1,STATE_1,COUNTY,TRACT,NAME_1,LSAD_1,CENSUSAR_1
0,0,1600000US0605290,06,05290,Benicia,city,12.929000000000000,1698,1400000US06095252105,06,095,252105,2521.05,Tract,1.026000000000000
1,0,1600000US0605290,06,05290,Benicia,city,12.929000000000000,7582,1400000US06095250502,06,095,250502,2505.02,Tract,0.735000000000000
2,0,1600000US0605290,06,05290,Benicia,city,12.929000000000000,7584,1400000US06095250605,06,095,250605,2506.05,Tract,1.167000000000000
3,0,1600000US0605290,06,05290,Benicia,city,12.929000000000000,7641,1400000US06095252000,06,095,252000,2520,Tract,1.192000000000000
4,0,1600000US0605290,06,05290,Benicia,city,12.929000000000000,7642,1400000US06095252102,06,095,252102,2521.02,Tract,17.867000000000001
5,0,1600000US0605290,06,05290,Benicia,city,12.929000000000000,7644,1400000US06095252104,06,095,252104,2521.04,Tract,3.794000000000000
6,0,1600000US0605290,06,05290,Benicia,city,12.929000000000000,7645,1400000US06095252106,06,095,252106,2521.06,Tract,1.115000000000000
7,0,1600000US0605290,06,05290,Benicia,city,12.929000000000000,7646,1400000US06095252107,06,095,252107,2521.07,Tract,1.048000000000000
8,0,1600000US0605290,06,05290,Benicia,city,12.929000000000000,7647,1400000US06095252108,06,095,252108,2521.08,Tract,0.626000000000000
9,1,1600000US0606028,06,06028,Bermuda Dunes,CDP,2.946000000000000,4584,1400000US06065051400,06,065,051400,514,Tract,2.926000000000000
10,1,1600000US0606028,06,06028,Bermuda Dunes,CDP,2.946000000000000,5494,1400000US06065045214,06,065,045214,452.14,Tract,2.155000000000000
11,1,1600000US0606028,06,06028,Bermuda Dunes,CDP,2.946000000000000,5561,1400000US06065045233,06,065,045233,452.33,Tract,1.419000000000000
12,2,1600000US0606070,06,06070,Berry Creek,CDP,57.119999999999997,82,1400000US06007002400,06,007,002400,24,Tract,427.255999999999972
13,3,1600000US0606336,06,06336,Bieber,CDP,1.637000000000000,287,1400000US06035040100,06,035,040100,401,Tract,2902.289999999999964
14,4,1600000US0606518,06,06518,Big Creek,CDP,0.460000000000000,214,1400000US06019006402,06,019,006402,64.02,Tract,1498.848999999999933
15,5,1600000US0606728,06,06728,Biola,CDP,0.647000000000000,2390,1400000US06019004100,06,019,004100,41,Tract,30.161000000000001
16,6,1600000US0606935,06,06935,Blacklake,CDP,1.045000000000000,6435,1400000US06079012304,06,079,012304,123.04,Tract,65.022000000000006
17,7,1600000US0606994,06,06994,Blairsden,CDP,0.542000000000000,988,1400000US06063000201,06,063,000201,2.01,Tract,130.718999999999994
18,8,1600000US0607172,06,07172,Bluewater,CDP,0.892000000000000,6292,1400000US06071940100,06,071,940100,9401,Tract,43.289999999999999
19,9,1600000US0607372,06,07372,Bombay Beach,CDP,0.941000000000000,7949,1400000US06025012400,06,025,012400,124,Tract,2228.985999999999876
20,10,1600000US0607525,06,07525,Bootjack,CDP,7.001000000000000,5098,1400000US06043000301,06,043,000301,3.01,Tract,79.423000000000002
