"","NAMELSAD","yr","area","count","nIndv","nCorp","nIndvTech","nIndvBigTech","nCorpBigTech","nDemRec","nRepRec","nIndRec","nComRec","nGen","aTot","aIndv","aCorp","aIndvBigTech","aIndvTech","aCorpTech","aDemRec","aRepRec","aIndRec","aComRec","aGen","meanCFCont","sdCFCont","meanCFCand","sdCFCand","meanCFDiff","sdCFDiff","vReg","vTurn","id"
"1","Acalanes Ridge CDP",2002,0.461,23,20,0,3,0,0,10,4,0,4,0.521739130434783,4838.1,3813.1,0,0,1000,0,3750,175,0,184,3200,-0.15,1.00955885955653,-0.246086956521739,-0.246086956521739,0.0960869565217391,0.349359662687385,72453,28239,1
"2","Acton CDP",2002,39.256,85,81,3,16,0,0,2,8,1,77,0.341176470588235,12309.52,9184.52,3000,0,4335,0,2000,4274,237,8561.52,1586,-0.208352941176471,0.82930959102081,-0.058,-0.058,-0.0736470588235294,0.243901068247839,301048,135949,2
"3","Adelanto city",2002,56.009,109,75,14,2,0,0,11,18,0,80,0.174311926605505,63187.2,21023.96,41330,0,550,0,10350,24709,0,26178.2,24899,-0.0514678899082569,0.871336591093197,0.0201834862385321,0.0201834862385321,-0.0180733944954128,0.224744616646359,462004,205192,3
"4","Adin CDP",2002,3.437,6,5,1,0,0,0,1,3,0,1,0.5,1750,750,1000,0,0,0,500,150,0,100,150,0.753333333333333,0.730524925424634,0.663333333333333,0.663333333333333,0.00333333333333335,0.280475786239502,24074,16318,4
"5","Agoura Hills city",2002,7.793,564,520,32,55,1,1,89,72,7,392,0.326241134751773,158383.97,115628.97,35424,1000,24655.62,350,58368,43310,2300,51851.97,59595,-0.205265957446809,0.785676005277548,-0.0285283687943262,-0.0285283687943262,-0.0246276595744681,0.273795186732698,242582,97278,5
"6","Agua Dulce CDP",2002,22.835,19,18,0,1,0,0,3,6,0,10,0.421052631578947,8766,2766,0,0,100,0,450,6759,0,1557,7299,0.544736842105263,0.802810122985038,0.373157894736842,0.373157894736842,-0.00210526315789474,0.21526673240859,237923,103454,6
"7","Aguanga CDP",2002,13.599,1,1,0,0,0,0,0,0,0,0,1,20,20,0,0,0,0,0,0,0,0,20,3.58,NA,3.38,3.38,0.2,NA,219408,116906,7
"8","Ahwahnee CDP",2002,10.024,16,16,0,0,1,0,2,11,0,4,0.75,3912.6,3912.6,0,200,0,0,120,3575,0,1217.6,2695,0.545625,0.915925533727133,0.575,0.575,-0.029375,0.216686217066676,669497,451170,8
"9","Alameda city",2002,10.611,2903,1408,662,150,9,22,993,428,46,1519,0.337581811918705,7586059.23,221140.99,1191007.84,10582.49,27857.23,6214,4278268.94,416956,211624.54,4301825.37,2447350.9,-0.362297623148467,0.688156121309845,-0.234929383396486,-0.234929383396486,-0.0658284533241474,0.427270754010684,802936,452279,9
"10","Alamo CDP",2002,9.667,1255,1097,88,107,3,0,265,302,5,714,0.277290836653386,507490.09,378812.5,89871.05,850,38866,0,151588.07,129711,1850,235953.02,173757.89,-0.0079601593625498,0.871287786385715,0.0486772908366534,0.0486772908366534,-0.0266215139442231,0.327682251685191,1119696,455990,10
