"","NAMELSAD","yr","area","count","nIndv","nCorp","nIndvTech","nIndvBigTech","nCorpBigTech","nDemRec","nRepRec","nIndRec","nComRec","nGen","aTot","aIndv","aCorp","aIndvBigTech","aIndvTech","aCorpTech","aDemRec","aRepRec","aIndRec","aComRec","aGen","meanCFCont","sdCFCont","meanCFCand","sdCFCand","meanCFDiff","sdCFDiff","vReg","vTurn","SE_A00002_001","SE_A00003_001","SE_A00003_002","SE_A00003_003","SE_A02002_002","SE_A02002_003","SE_A02002_004","SE_A02002_005","SE_A02002_006","SE_A02002_007","SE_A02002_008","SE_A02002_009","SE_A02002_010","SE_A02002_011","SE_A02002_012","SE_A02002_013","SE_A02002_014","SE_A02002_015","SE_A02002_016","SE_A02002_017","SE_A02002_018","SE_A02002_019","SE_A02002_020","SE_A02002_021","SE_A02002_022","SE_A02002_023","SE_A02002_024","SE_A02002_025","SE_A02002_026","SE_A02002_027","SE_C01001B_002","SE_C01001B_003","SE_C01001B_004","SE_C01001B_005","SE_C01001B_006","SE_C01001B_007","SE_C01001B_008","SE_C01001B_009","SE_C01001B_010","SE_C01001B_011","SE_C01001B_012","SE_C01001B_013","SE_C01001B_014","SE_C01001B_015","SE_C01001B_016","SE_C01001B_017","SE_C01001B_018","SE_C01001B_019","SE_C01001B_020","SE_C01001B_021","SE_C01001B_022","SE_C01001B_023","SE_A01004_001","SE_A01004_002","SE_A01004_003","SE_A10008_001","SE_A10008_002","SE_A10008_003","SE_A10008_004","SE_A10008_005","SE_A10008_006","SE_A10008_007","SE_A10008_008","SE_A10008_009","SE_A10024_001","SE_A10024_002","SE_A10024_003","SE_A10024_004","SE_A10024_005","SE_A10024_006","SE_A10024_007","SE_A10024_008","SE_A10002B_001","SE_A10002B_002","SE_A10002B_003","SE_A10002B_004","SE_A10002B_005","SE_A10002B_006","SE_A10002B_007","SE_A10002B_008","SE_A10022_001","SE_A10022_002","SE_A10022_003","SE_A10022_004","SE_A10022_005","SE_A10022_006","SE_A10022_007","SE_A10022_008","SE_A10005B_001","SE_A10005B_002","SE_A10005B_003","SE_A10005B_004","SE_A10005B_005","SE_A10005B_006","SE_A10005B_007","SE_A10005B_008","SE_A10009_001","SE_A10009_002","SE_A10009_003","SE_A10009_004","SE_A10009_005","SE_A10009_006","SE_A10009_007","SE_A10009_008","SE_A10009_009","SE_A10009_010","SE_A10009_011","SE_A10009_012","SE_A10009_013","SE_A10009_014","SE_A10009_015","SE_A10009_016","SE_A10009_017","SE_A10009_018","SE_A10009_019","SE_A10010_002","SE_A03001B_002","SE_A03001B_010","SE_A10023_002","SE_A10023_003","SE_A10020_002","SE_A10020_003","SE_A10020_004","SE_A10020_005","SE_A10020_006","SE_A10020_007","SE_A10020_008","SE_A10020_009","SE_A10020_010","SE_A01003B_002","SE_A01003B_003","SE_A01003B_004","SE_A01003B_005","SE_A01003B_006","SE_A01003B_007","SE_A01003B_008","SE_A01003B_009","SE_A01003B_010","SE_A10003_001","SE_A10003B_001","SE_A11001_002","SE_A11001_003","SE_A11001_004","SE_A11001_005","SE_A11001_006","SE_A14019_001","SE_A14016_001","SE_A14021_001","SE_A14023_001","SE_A14023_002","SE_A14023_009","SE_A10011_002","SE_A10011_003","SE_A10019_002","SE_A10019_003","SE_A10016_002","SE_A10016_003","SE_A10012_002","SE_A10012_003","SE_A10017_002","SE_A10017_003","SE_A10018_002","SE_A10018_003","SE_A10014_002","SE_A10014_003","SE_A10015_002","SE_A10015_003","SE_A10013_002","SE_A10013_003","SE_A14024_001","SE_A14026_001","SE_A14026_002","SE_A14026_003","SE_A14026_004","SE_A14026_005","SE_A14027_001","SE_A14027_002","SE_A14027_003","SE_A14027_004","SE_A14027_005","SE_A14027_006","SE_A14025_001","SE_A14025_002","SE_A14025_003","SE_A14025_004","SE_A14025_005","SE_A14025_006","SE_A14028_001","SE_A10060_001","SE_A10060_002","SE_A10060_003","SE_A10044_001","SE_A10044_002","SE_A10044_003","SE_A10032_002","SE_A10032_003","SE_A10032_004","SE_A10032_005","SE_A10032_006","SE_A10032_007","SE_A10032_008","SE_A10032_009","SE_A10032_010","SE_A10032_011","SE_A10032_012","SE_A10050_002","SE_A10050_003","SE_A10050_004","SE_A10050_005","SE_A10050_006","SE_A10050_007","SE_A10042B_002","SE_A10042B_003","SE_A10042B_004","SE_A10042B_005","SE_A10042B_006","SE_A10042B_007","SE_A10057_001","SE_A10036_001","SE_A18003_001","SE_A18004_001","SE_A18007_002","SE_A18007_003","SE_A10037_001","SE_A10037_002","SE_A10037_003","SE_A10027_002","SE_A10027_003","SE_A10027_004","SE_A10027_005","SE_A10027_006","SE_A10027_007","SE_A10027_008","SE_A10027_009","SE_A10027_010","SE_A10027_011","SE_A10027_012","SE_A10027_013","SE_A10027_014","SE_A10027_015","SE_A13003A_001","SE_A13003A_002","SE_A13003A_003","SE_A13003B_001","SE_A13003B_002","SE_A13003B_003","SE_A13003C_001","SE_A13003C_002","SE_A13003C_003","SE_A09001_002","SE_A09001_003","SE_A09001_004","SE_A09001_005","SE_A09001_006","SE_A09001_007","SE_A09001_008","SE_A09001_009","SE_A09002_002","SE_A09002_003","SE_A09002_004","SE_A09002_005","SE_A09002_006","SE_A09002_007","SE_A09002_008","SE_A10030_003","SE_A10030_004","SE_A10030_005","SE_A10030_006","SE_A10030_007","SE_A10054B_002","SE_A10054B_003","SE_A10054B_004","SE_A10054B_005","SE_A10054B_006","SE_A10054B_007","SE_A16002_001","SE_A16002_002","SE_A16002_003","SE_A16002_004","SE_A16002_005","SE_A16002_006","SE_A16002_007","SE_A06001_002","SE_A06001_003","SE_A06001_004","SE_A06001_005","SE_A05001_002","SE_A05001_003","SE_A05001_004","SE_A10048_001","SE_A10048_002","SE_A10048_003","id"
"1","Alameda city",2006,10.611,5124,3688,675,429,59,0,1376,598,30,3591,0.205893832943013,8891211.42,534741.86,3501601.16,40284.76,63548.41,0,2027761.58,1615586.83,69550,7519157.16,1226849.76,-0.469586260733802,0.759562954520768,-0.274482825917252,-0.274482825917252,-0.0427712724434036,0.361621602068298,807824,534147,6503.41177398792,22.9663427012017,10.7955643037728,12.1707783974289,32901,1403,1817,2440,1592,3805,2529,5413,5576,3722,2266,1699,639,37307,2005,1701,2476,1126,1502,3744,7502,6117,4744,2918,2325,1147,66800,63282,58366,55648,54206,53379,52633,50341,47789,44068,38219,31153,25219,19460,15477,13269,10994,9751,8581,5810,3227,1786,42.6,39.1,43.7,29287,17180,12021,5159,1059,4100,12107,5307,6800,29287,10123,9152,5020,3766,962,264,0,14601,6096,3755,2513,1825,369,43,0,29287,8524,8240,2005,700,5535,284,20763,14601,4436,4219,959,433,2827,217,10165,29287,8754,8638,5600,3038,513,2525,116,116,0,20533,8542,6421,2121,546,1575,11991,5191,6800,20022,9112,2034,2908,26379,337,3006,7094,7336,2443,3000,3081,2152,838,288,2405,4465,3379,998,1292,878,731,165,2.34,2.24,18431,26293,2038,4144,7460,2430879300,45263,705319000,2530520300,1856276200,182211400,23411,5876,21291,7996,5595,23692,12258,17029,6758,22529,1110,28177,535,28752,5454,23833,3677,25610,36043,25580,51623,79840,122786,203557,14103,38825,66295,100706,195082,304158,3.40000009536743,9.39999961853027,16,24.2999992370605,47,18.2999992370605,0.437999993562698,29287,14686,14601,30560,29287,1273,17384,13424,3960,1787,2835,2360,1382,2342,2269,0,201,1010,6201,10500,6885,3326,1365,861,5330,6175,1750,275,210,1957,684700,28.5,16484900,1217,1116,24.2999992370605,28.7999992370605,10.3000001907349,0,173,972,1067,1468,800,365,1337,1956,2062,7326,2839,8659,263,14246,2272,11974,44055,4183,39872,9994,568,9426,29741,2819,8465,5309,5037,6115,1861,135,687,6077,9829,7312,3840,1861,135,11922,11039,2449,663,395,2360,7600,3833,550,67,191,54954,5943,3485,2458,49011,40475,8536,54523,15685,10575,5110,66914,44452,22462,29287,28959,28959,11
"2","Alhambra city",2006,7.631,2955,2477,190,169,3,0,745,449,10,1929,0.212182741116751,1126444.74,612897.29,208595.79,182.5,47151.49,0,480599.11,341711.2,4720,515975.09,347578.31,-0.262707275803722,0.978655783952816,-0.0645414551607445,-0.0645414551607445,-0.0493807106598985,0.288371543597091,706252,272053,10717.9642545899,7.62206311380593,7.62206311380593,0,38604,2756,1728,2093,1655,3162,6710,4830,6736,4086,1983,1985,880,43089,2183,1365,2297,1287,3131,6126,6200,6450,6017,2994,2706,2333,76754,73661,69271,66329,64653,63587,62706,60036,54557,47200,40619,36170,29114,22984,17169,15278,12881,11687,9616,7904,5588,3213,39.8,36.5,43,28703,19942,13856,6086,1887,4199,8761,3711,5050,28703,7494,8940,5864,3689,1567,792,357,16533,5332,5077,3420,1654,353,572,125,28703,8441,7933,2146,1144,4643,508,20262,16533,4229,4123,1252,656,2215,106,12304,28703,8441,8441,6290,2151,764,1387,0,0,0,20262,11501,7566,3935,1123,2812,8761,3711,5050,7790,3565,5095,8683,20020,583,5056,5747,7747,2528,1707,2405,1982,948,529,3298,3717,4816,1101,894,848,995,335,2.74,2.49,22121,33752,1283,5850,6265,1817194400,41643,443882300,1954575400,590542700,573891200,23534,5169,22495,6208,2687,26016,7035,21668,6435,22268,2189,26514,493,28210,2876,25827,3133,25570,23926,21044,40391,61417,95255,155510,12052,30401,49852,75484,148761,239536,3.79999995231628,9.60000038146973,15.6999998092651,23.7999992370605,47,18.8999996185303,0.432000011205673,28703,12170,16533,29514,28703,811,17039,13697,3342,1297,1702,5028,1593,1976,830,49,0,475,6131,11861,7917,1875,444,346,5858,7739,2364,226,0,1951,522400,28.3999996185303,16801000,1109,994,24.3999996185303,30.8999996185303,10.5,43,184,1027,1249,946,578,1261,1712,2578,2969,8451,2411,4795,499,15364,2238,13126,52507,5209,47298,11634,1091,10543,35649,2783,7973,8370,7851,4823,2502,1347,643,4750,13733,9365,3309,2502,1347,11374,9906,3754,785,268,1836,7897,4881,1825,94,0,66257,2401,1375,1026,63856,52001,11855,38800,42893,24948,17945,79503,70087,9416,28703,28578,28486,15
"3","Anaheim city",2006,49.835,12109,10665,636,710,19,18,883,1645,41,10436,0.107853662565034,3555823.07,1380837.61,938627.84,1910,275322.9,600,644010.53,1729860.61,20698,2279481.7,1154141.01,0.0179106449748121,0.717707812695031,0.0721298207944504,0.0721298207944504,-0.00630687918077463,0.264755536653529,2788128,1249356,7031.55274432976,50.4497499602315,48.942390466674,1.5073594935575,174326,15844,15320,14032,7437,16973,27401,30078,20185,13374,8106,4504,1072,169815,15043,11551,13510,7960,17492,25706,26020,20033,13816,8954,7295,2435,313254,286383,258841,243444,235292,230233,226280,208979,184128,155872,124158,99774,77460,59556,45398,39032,32366,28034,23741,15306,8255,3507,32.2,31.7,32.7,98736,73301,50733,22568,6287,16281,25435,12848,12587,98736,19606,23997,16801,16598,9706,7242,4786,47840,12555,10675,7244,7607,4173,3571,2015,98736,43899,39931,8527,9249,22155,3968,54837,47840,21398,20253,5025,5481,9747,1145,26442,98736,44298,44048,30216,13832,3397,10435,250,109,141,54438,29253,20517,8736,2890,5846,25185,12739,12446,66527,31174,20669,34814,63922,3857,17079,27605,20352,7052,6861,8484,5731,1715,3435,11568,14031,8266,2580,2830,2262,2137,731,3.45,3.29,88369,127013,7781,12409,23269,7191916500,38094,1286265300,7681197700,5081964100,2242230500,86451,12285,83380,15356,11471,87265,17401,81335,21091,77645,4906,93830,2616,96120,12941,85795,11919,86817,22320,24629,45095,67532,104261,179649,14277,34940,55982,85083,173917,304922,3.90000009536743,9.60000038146973,15.3999996185303,23.3999996185303,47.7999992370605,20.8999996185303,0.439000010490417,98736,50896,47840,104339,98736,5603,52253,44618,7635,1022,10901,8083,6445,7207,12528,5849,51,1899,17987,28793,30163,16492,3402,1521,16807,22171,5796,1246,299,1973,610800,35.5999984741211,56288500,1261,1082,27.6000003814697,32.2999992370605,10,435,1328,3578,2314,2360,1373,1493,2993,5101,7283,29016,13979,26733,750,99345,19035,80310,210801,21043,189758,30858,1931,28927,155269,14464,42433,34770,30292,20592,9588,3130,3124,29050,59493,37175,13709,9588,3130,31282,35241,16121,7912,2088,5039,21778,15561,3509,1749,204,243413,14531,9232,5299,228882,201815,27067,213127,131014,51541,79473,328905,275186,53719,98736,98170,97331,32
"4","Antioch city",2006,28.349,3035,2667,258,312,4,0,279,244,1,2688,0.186161449752883,43013900.39,163371.35,42793130.09,1200,18970.2,0,95948.37,221871.54,50,42824142.48,286831.68,-0.228072487644152,0.757359371904212,-0.0706952224052718,-0.0706952224052718,-0.0370148270181219,0.279614195508473,1427523,399294,3648.85420927777,27.579982609958,26.9481854742184,0.631797135739625,48341,4164,3474,4255,1749,6411,4829,8108,7563,4496,1967,839,486,49989,2938,3348,4485,2726,6041,6230,6570,8675,4416,2266,1999,295,91228,84406,75666,71191,67936,66870,64052,58739,52799,47680,39557,33002,23225,16764,11567,9727,7852,7103,5613,3619,1628,781,33.7,33.8,33.7,31335,23121,17635,5486,1820,3666,8214,3736,4478,31335,6173,8954,5789,5293,3067,1081,978,7895,1800,2554,1270,816,675,640,140,31335,13313,12368,2671,2425,7272,945,18022,7895,3512,3431,1302,1079,1050,81,4383,31335,13452,13392,9503,3889,1206,2683,60,60,0,17883,9729,8132,1597,614,983,8154,3676,4478,19321,4762,1972,6007,25328,1564,3895,7464,9339,3319,1936,2539,1049,230,1367,1523,2503,1397,97,372,399,237,0,3.11,2.99,25651,37859,1395,3586,7175,2378987700,31704,406171800,2519377500,1512989400,426129600,27220,4115,26314,5021,3370,27965,6453,24882,7028,24307,845,30490,979,30356,5350,25985,3286,28049,25622,26847,55039,79699,116970,166352,16234,40982,67639,96637,158114,221766,4.30000019073486,10.8000001907349,17.7999992370605,25.5,41.7000007629395,14.6000003814697,0.379999995231628,31335,23440,7895,34739,31335,3404,28347,26062,2285,354,846,844,529,818,2571,430,0,0,2430,4750,12618,8843,2694,0,2276,2941,2046,632,0,1984,543500,35.7999992370605,8429700,1087,1079,31.7000007629395,35.4000015258789,8.89999961853027,263,45,1367,644,1007,1243,720,781,831,1175,4436,5960,12799,64,26716,4725,21991,63287,6143,57144,7488,513,6975,44290,3385,8343,4126,5519,9016,8524,5377,788,7269,7797,8422,6113,8524,5377,7771,12340,6613,1965,1131,792,4369,1987,648,99,0,71191,7325,4980,2345,63866,58359,5507,78289,20041,10088,9953,93091,63069,30022,31335,31131,31121,38
"5","Apple Valley town",2006,73.193,1711,1644,32,104,50,3,54,381,0,1477,0.0748100526008182,239848.55,177399.23,12233.32,1893.34,11858.38,4050,15814,157251.35,0,124513.2,65685.36,0.283109292811221,0.914136686825415,0.238825248392753,0.238825248392753,0.00644652250146114,0.21684823007584,1839912,1009584,1023.76548232368,73.6245862915195,73.332224319186,0.292361972333463,36796,2986,2686,2457,2321,3679,5959,4322,4524,3516,2844,984,518,38279,3124,2448,2658,1940,4629,4604,4463,5433,3280,2656,2350,694,68965,63831,58716,54455,52088,51072,49536,46147,40298,35584,31784,26799,20921,16842,13318,12125,10046,8993,6958,4546,2196,1212,32.8,32.6,33.4,24128,18401,13080,5321,1184,4137,5727,2769,2958,24128,4951,7117,4537,2772,2956,1226,569,6664,1643,1186,1605,653,1240,56,281,24128,9801,8966,1976,2273,4717,835,14327,6664,3450,3218,1115,1057,1046,232,3214,24128,9849,9849,5617,4232,996,3236,0,0,0,14279,8552,7463,1089,188,901,5727,2769,2958,19097,5255,1027,4377,19751,554,4453,4339,5639,1677,1570,3306,2042,548,527,2177,1090,1357,327,296,680,163,47,3.09,3.05,18245,29685,1285,3868,5633,1402590300,30591,239058200,1485283500,1152431100,269467400,17884,6244,17004,7124,2636,21492,3491,20637,8020,16108,1318,22810,1047,23081,5196,18932,3275,20853,19784,18723,35930,57275,84138,154494,11138,27884,45925,72769,132941,195945,3.79999995231628,9.60000038146973,15.8000001907349,25,45.7000007629395,16.8999996185303,0.423000007867813,24128,17464,6664,25099,24128,971,19789,19129,660,415,2107,1150,281,117,0,1240,0,280,335,5983,12021,4871,638,280,290,3324,1957,813,0,1984,327600,41.5,6665000,817,1022,29.2999992370605,33.2000007629395,14.8000001907349,0,352,670,987,1439,1080,1087,2036,1529,1080,6115,3331,4273,149,20457,5837,14620,44409,6064,38345,10046,758,9288,27352,2658,8891,5662,2232,2138,3183,2588,567,5435,11209,2938,1432,3183,2588,6917,8956,3890,1900,1412,476,2754,2053,804,195,382,54455,7587,4723,2864,46868,39686,7182,65870,9205,4170,5035,71372,46856,24516,24128,24006,24077,40
"6","Arden-Arcade CDP",2006,17.829,7020,5662,389,401,64,5,1770,1304,48,4875,0.247008547008547,7293814.56,2826238.83,1035552.66,3906.67,244786.52,450,3099428.4,2454454.47,18065,3412718.32,2311387.69,-0.239562678062678,0.865389398727091,-0.096485754985755,-0.096485754985755,-0.0618675213675214,0.379068416811361,785305,395542,4777.11783789862,18.9903721561644,18.884189810918,0.106182345246387,41559,2608,1792,3023,1428,4128,6555,6905,6117,3779,2606,1784,834,48653,2282,2458,2659,1882,5528,6447,5174,7650,5237,3319,3565,2452,85322,81072,75390,72080,70304,68328,66585,62424,53848,49422,43142,37343,30224,23576,18670,16898,14560,13442,11771,8635,6415,3286,38.7,36.8,40.9,40435,21589,13924,7665,2038,5627,18846,7542,11304,40435,15601,12960,6420,3816,1478,55,105,18972,8227,5553,2963,1501,607,55,66,40435,10350,9844,2328,1384,6132,506,30085,18972,4602,4374,1329,626,2419,228,14370,40435,10584,10543,6446,4097,795,3302,41,0,41,29851,11046,7478,3568,1243,2325,18805,7542,11263,32568,12735,3424,4756,35679,3044,6494,6953,8834,2975,2796,3874,3606,1859,3044,4775,3274,3058,1310,825,1471,519,696,2.18,2.09,24994,31740,2003,5956,10697,2829759200,28542,844974600,2907309700,2553364400,234646600,30032,10403,28360,12075,5594,34841,11966,28469,11086,29349,2180,38255,1651,38784,8591,31844,5235,35200,32228,21422,37169,57550,94545,184811,12127,28480,45071,73299,190938,382557,3.5,8.10000038146973,12.8999996185303,20.8999996185303,54.5999984741211,27.2999992370605,0.504999995231628,40435,21463,18972,44288,40435,3853,24205,21251,2954,1100,3629,3823,3255,3334,4402,265,275,1092,8602,11816,13732,4506,687,831,7912,8118,1935,176,0,1965,411600,33.2999992370605,15485800,809,790,22.2000007629395,28.8999996185303,8.5,446,829,1562,1751,1375,1280,3824,4470,3912,2899,5823,4577,6832,855,17429,3167,14262,57305,7098,50207,13517,373,13144,39753,5854,12230,11076,6429,2752,958,454,1485,9979,17696,6879,2302,958,454,17180,13500,4764,926,373,2965,10064,4411,1405,61,66,71960,7415,3706,3709,64545,53694,10851,77242,12970,4424,8546,85085,53491,31594,40435,40435,40249,46
"7","Bakersfield city",2006,142.164,7304,5501,922,530,11,7,1074,2132,34,5306,0.19578313253012,73367472.56,2138157.24,68172967.6,2870,156817.9,1520,765123.71,2276311.68,11048.57,71624206.4,1019067.78,0.279058050383352,0.865132324787919,0.250292990142388,0.250292990142388,0.00778614457831325,0.359724037647434,3992689,1227201,2706.81215660138,114.398686017078,113.09872362343,1.29996239364816,149735,13834,10921,14038,7948,17088,24933,22747,17736,9727,6261,3964,538,156402,14935,11576,13011,7989,17170,25626,21031,18088,11297,7809,5901,1969,277368,254871,227822,211885,203028,197660,192120,177627,149436,127068,105482,83290,64602,47466,34671,31471,26442,23639,18966,12372,8265,2507,29.4,29.2,29.6,100683,73879,52627,21252,4950,16302,26804,12127,14677,100683,21649,27094,18946,16497,9630,4210,2657,40586,11872,9038,7373,5427,3397,2187,1292,100683,47774,44279,11553,10106,22620,3495,52909,40586,20295,18930,6074,5171,7685,1365,20291,100683,48354,47868,31449,16419,3213,13206,486,486,0,52329,26011,21178,4833,1737,3096,26318,11641,14677,61695,21669,14645,32005,68678,6500,24010,24717,19456,6409,4498,7916,5878,1299,5613,14167,9504,5219,1234,1162,1598,1589,500,2.99,2.84,73586,113340,6254,12190,22452,6853593700,31312,1285104700,7167558400,4883585900,1699346100,86356,14327,82751,17932,13236,87447,19263,81420,19888,80795,4210,96473,5587,95096,12853,87830,14742,85941,23413,22375,40084,65239,98961,175702,12919,31179,51800,80346,164110,274812,3.79999995231628,9.19999980926514,15.1999998092651,23.6000003814697,48.2000007629395,20.2000007629395,0.444999992847443,100683,60097,40586,107813,100683,7130,77542,73977,3565,2486,10689,6301,2534,1813,4594,1808,46,861,9610,22735,45219,18411,3847,861,8708,16116,12622,1908,371,1983,318100,31.2999992370605,34670700,853,769,24.5,26.8999996185303,11.6000003814697,61,303,2722,2852,5030,6341,7787,6624,6545,5570,25966,15337,14264,1281,92202,22438,69764,183059,25004,158055,24858,1854,23004,129977,18928,54563,28483,14094,6863,4744,2302,4241,39153,58580,16014,4943,4744,2302,31831,41913,14244,4804,1091,5474,19397,12654,2258,659,144,211855,17441,10843,6598,194414,174570,19844,252279,53858,21808,32050,286455,210625,75830,100683,99844,99097,69
"8","Baldwin Park city",2006,6.631,1297,1200,39,17,1,2,82,85,1,1195,0.0647648419429453,148265.46,77158.44,25966.01,24,1877.75,200,59292.24,32234.64,1000,84584.46,42394.48,-0.508542791056284,0.871505254633745,-0.0321819583654588,-0.0321819583654588,-0.0082035466461064,0.163401143953883,379697,149294,11925.2273711122,6.79765620535694,6.66452701711359,0.133129188243343,39515,3368,3423,4000,1944,4742,4669,5824,4961,3759,1779,1046,0,39961,2350,2403,3995,2264,4706,5752,5491,4713,3455,3438,1223,171,73758,67932,59937,55729,52506,50666,49447,46281,42245,35860,29402,24545,18702,14871,10429,9432,7657,6560,4938,2440,963,171,32.6,31.4,33.1,18143,15476,9852,5624,1570,4054,2667,1399,1268,18143,2275,3026,3486,3191,2944,1249,1972,6916,1051,1125,1163,1481,822,608,666,18143,9663,8434,1229,2006,5199,1229,8480,6916,3988,3663,629,883,2151,325,2928,18143,9760,9712,6367,3345,572,2773,48,0,48,8383,5764,3485,2279,998,1281,2619,1399,1220,5112,2269,5087,12981,5162,523,3211,3952,4421,1611,1130,2368,927,0,388,2097,1563,1102,143,151,964,508,0,4.34,4.26,24254,28714,1742,2478,2749,946143700,25183,90409900,1072150900,230175600,713199900,15155,2988,14332,3811,1809,16334,921,17222,4184,13959,1709,16434,667,17476,3510,14633,2163,15980,13490,18843,33446,51228,78513,126271,10707,25746,43908,63739,116646,166282,4.09999990463257,9.89999961853027,16.7999992370605,24.3999996185303,44.7000007629395,15.8999996185303,0.407000005245209,18143,11227,6916,18682,18143,539,14301,12679,1622,0,787,894,435,942,758,565,0,151,2060,5263,7953,2576,140,0,1850,2602,1742,673,49,1966,419700,42.9000015258789,6636500,1084,979,29.5,33.9000015258789,8,0,627,730,474,336,651,358,972,877,1401,4814,3369,3156,378,23258,6640,16618,47684,6767,40917,7614,896,6718,30287,3051,9049,4940,6241,3413,2980,613,520,6556,9964,7481,2173,2980,613,4592,5616,3794,1894,757,1188,3009,1492,618,557,52,55729,1771,1038,733,53958,47034,6924,40431,39045,16178,22867,77557,74522,3035,18143,18143,17995,70
"9","Bellflower city",2006,6.117,1817,1701,43,57,3,5,118,128,8,1680,0.0682443588332416,135433.94,93201.42,20461.38,1250,10269,2349,31931,56364.36,2250,75912.58,25239.24,-0.170698954320308,0.78522192082133,-0.0125371491469455,-0.0125371491469455,-0.0101816180517336,0.155597540951085,367929,132902,13631.8546256159,6.14770995077969,6.07342157569842,0.0742883750812745,40225,4400,2575,4569,1914,4276,6144,7171,3703,2964,1127,889,493,42567,4041,3480,3938,2153,4361,6201,5938,4938,4362,1272,1259,624,74351,68296,59789,55722,53035,51550,50241,47085,41795,34740,28058,21631,16980,12990,9067,7940,5664,4788,4071,3265,2041,1117,30.2,29,31.2,24260,18459,11220,7239,1828,5411,5801,3107,2694,24260,4466,6019,4639,4348,3428,728,632,14749,2767,3786,2857,2573,1664,662,440,24260,12159,11312,1705,3493,6114,847,12101,14749,8106,7707,1541,3117,3049,399,6643,24260,12221,12159,7464,4695,990,3705,62,0,62,12039,6300,3756,2544,838,1706,5739,3107,2632,7580,3586,7460,11871,12389,1390,5143,7151,4169,1479,1912,1358,1133,525,1268,4060,5237,1813,373,878,748,261,111,3.36,3.36,22236,25775,2748,3355,5675,1320566600,34502,225736500,1415068900,474746000,708739800,21137,3123,20118,4142,2855,21405,2283,21977,4600,19660,1367,22893,1222,23038,2485,21775,3332,20928,17092,20042,34570,59791,80834,129760,12587,27435,46516,68306,117326,169242,4.59999990463257,10.1000003814697,17.1000003814697,25.1000003814697,43.0999984741211,15.5,0.391999989748001,24260,9511,14749,25160,24260,900,14618,11985,2633,200,815,1389,1859,2476,2565,1130,108,87,5867,9992,6958,1141,215,40,5245,8005,1357,102,0,1966,512600,33.2000007629395,14648200,996,958,27.8999996185303,31,11.8999996185303,371,211,723,480,491,804,601,1830,3356,2561,7149,2517,3099,67,26895,5265,21630,49957,5949,44008,5262,1041,4221,34253,3851,9000,6914,8372,4124,1440,552,1583,5887,12295,9415,3081,1440,552,8540,8777,4034,900,507,1294,6024,5334,1502,392,203,55722,3442,2082,1360,52280,47976,4304,58475,24317,8522,15795,81288,71169,10119,24260,24186,24230,88
"10","Berkeley city",2006,10.47,14436,13901,171,1805,121,7,5499,345,83,10306,0.160986422831809,5470705.86,4319746.98,350917.71,12787.37,301042.84,2170,3017650.33,129696,21330,3504723.92,1380540.99,-1.09577029648102,0.569026340080236,-0.530344278193405,-0.530344278193405,-0.0996432529786645,0.262764322560054,1208478,833981,10156.7380727803,17.705966591351,10.459066605714,7.246899985637,52256,1888,1295,1704,1469,15038,6472,8148,6394,5329,3025,995,499,53974,1697,1904,1315,1500,13810,7090,6387,7508,6210,3615,1769,1169,102645,99446,96427,93458,83592,76700,70704,64610,56428,51048,43144,36513,30183,22611,16175,13981,11072,9457,7062,4432,2696,1668,33.4,30.8,34.5,42149,18538,13945,4593,1356,3237,23611,10922,12689,42149,16632,14480,5514,3542,838,627,516,22090,10833,6215,2939,1338,300,173,292,42149,7465,7028,1780,1141,4107,437,34684,22090,2412,2281,653,476,1152,131,19678,42149,7496,7465,5110,2355,398,1957,31,0,31,34653,11073,8835,2238,958,1280,23580,10922,12658,27978,12914,2472,3377,38772,5430,6534,7299,8556,3474,3131,4577,2074,1074,5430,5461,3610,3579,1294,957,985,547,227,2.3,2.19,53512,31712,772,3109,7322,3251242900,30975,1191306100,3387416300,2615638900,229557400,34402,7747,30833,11316,10844,31305,17360,24789,9003,33146,1451,40698,305,41844,5242,36907,5146,37003,31888,15976,40073,70014,125665,230239,6873,27726,52205,94141,204739,321765,1.79999995231628,7.19999980926514,13.5,24.3999996185303,53.0999984741211,20.8999996185303,0.512000024318695,42149,20059,22090,46686,42149,4537,24132,21610,2522,3026,5058,4998,3361,3927,2184,0,0,2405,11097,12049,9736,3868,2994,2405,10065,6462,1708,338,1112,1939,752500,37.0999984741211,24050700,1182,1059,24.2999992370605,29.7000007629395,12.8000001907349,0,280,589,624,1764,2068,2732,2619,2973,2697,9069,4459,11715,560,12448,939,11509,73519,18361,55158,11072,612,10460,47157,7229,15040,9292,6156,5622,3128,690,1412,13467,16682,8031,3747,3128,690,19592,11762,2320,1379,455,5950,12718,2322,623,438,39,93458,3696,1654,2042,89762,80732,9030,83270,22960,10311,12649,98961,69014,29947,42149,41772,41613,95
