	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
v1	10,940	5,470	3,158	1	10,940
yr	10,940	2,011	4.565	2,004	2,018
area	10,940	10.26	21.43	0.0440	468.7
count	10,940	2,372	16,925	1	827,884
nIndv	10,940	2,217	16,169	0	816,704
nCorp	10,940	58.49	550.3	0	16,809
nIndvTech	10,940	279.4	2,036	0	90,506
nIndvBigTech	10,940	27.42	270.0	0	11,875
nCorpBigTech	10,940	4.197	65.00	0	5,636
nDemRec	10,940	1,083	9,168	0	584,847
nRepRec	10,940	188.0	972.5	0	35,343
nIndRec	10,940	21.09	278.6	0	19,914
nComRec	10,940	1,544	10,940	0	570,116
nGen	10,940	0.0616	0.125	0	1
aTot	10,940	1.334e+06	1.580e+07	-72,576	7.563e+08
aIndv	10,940	591,623	6.691e+06	-24,941	2.951e+08
aCorp	10,940	233,995	4.156e+06	-1,464	3.030e+08
aIndvBigTech	10,940	6,918	98,931	-6,362	6.881e+06
aIndvTech	10,940	81,462	2.407e+06	-100,063	2.457e+08
aCorpTech	10,940	2,683	42,490	-533.3	2.466e+06
aDemRec	10,940	355,296	4.121e+06	-669,128	1.429e+08
aRepRec	10,940	230,386	3.333e+06	-110,898	2.920e+08
aIndRec	10,940	55,682	1.714e+06	-819	1.315e+08
aComRec	10,940	937,182	1.204e+07	-2,841	6.266e+08
aGen	10,940	73,482	1.193e+06	-116,599	6.958e+07
meanCFCont	10,940	-0.463	0.716	-3.549	4.170
sdCFCont	10,603	0.833	0.367	0	3.120
meanCFCand	10,940	-0.285	0.584	-1.960	3.920
sdCFCand	10,940	-0.285	0.584	-1.960	3.920
meanCFDiff	10,940	-0.0444	0.127	-2.700	1.553
sdCFDiff	10,603	0.257	0.146	0	2.292
vReg	10,940	557,700	1.655e+06	2,207	8.784e+07
vTurn	10,940	366,094	1.035e+06	699	5.515e+07
id	10,940	700.1	406.8	1	1,474
year1	10,940	0.121	0.326	0	1
year2	10,940	0.123	0.328	0	1
year3	10,940	0.125	0.330	0	1
year4	10,940	0.123	0.328	0	1
year5	10,940	0.128	0.334	0	1
year6	10,940	0.126	0.332	0	1
year7	10,940	0.131	0.337	0	1
year8	10,940	0.124	0.330	0	1
turnoutR	10,940	0.673	0.155	0.115	3.688
					
Number of id	1,475	1,475	1,475	1,475	1,475
