TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;06;013;3400.02;3010;1
Census Block;06;013;3400.02;3011;1
Census Block;06;013;3400.02;3016;1
Census Block;06;013;3400.02;3017;1
Census Block;06;013;3400.02;3018;1
Census Block;06;013;3400.02;3019;1
Census Block;06;013;3400.02;3020;1
Census Block;06;013;3400.02;3021;1
Census Block;06;013;3400.02;3023;1
Census Block;06;013;3400.02;4004;1
Census Block;06;013;3400.02;4005;1
Census Block;06;013;3400.02;4007;1
Census Block;06;013;3400.02;4008;1
Census Block;06;013;3400.02;4016;1
Census Block;06;013;3400.02;4020;1
Census Block;06;013;3400.02;5004;1
Census Block;06;013;3400.02;5005;1
Census Block;06;013;3400.02;5006;1
Census Block;06;013;3400.02;5007;1
Census Block;06;013;3400.02;5015;1
Census Block;06;013;3400.02;5016;1
Census Block;06;013;3400.02;5020;1
Census Block;06;013;3400.02;5021;1
Census Block;06;013;3400.02;5022;1
Census Block;06;013;3400.02;5026;1
Census Block;06;013;3400.02;5028;1
Census Block;06;013;3400.02;5029;1
Census Block;06;013;3400.02;5030;1
Census Block;06;013;3400.02;5032;1
Census Block;06;013;3400.02;5033;1
Census Block;06;013;3400.02;5035;1
Census Block;06;013;3400.02;5036;1
Census Block;06;013;3400.02;5037;1
Census Block;06;013;3400.02;5044;1
