TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;06;037;9102.05;1104;2,3
Census Block;06;037;9102.05;1121;2
Census Block;06;037;9102.05;1122;2
Census Block;06;037;9108.04;1009;1,2,3,4,5
Census Block;06;037;9108.04;1010;1
Census Block;06;037;9108.04;1011;5
Census Block;06;037;9108.04;1012;2
Census Block;06;037;9108.04;1013;2
Census Block;06;037;9108.04;1014;2
Census Block;06;037;9108.04;1015;1
Census Block;06;037;9108.04;1016;2
Census Block;06;037;9108.04;1017;2
Census Block;06;037;9108.04;1018;1
Census Block;06;037;9108.04;1019;2
Census Block;06;037;9108.04;1020;2
Census Block;06;037;9108.04;1021;2
Census Block;06;037;9108.04;1022;2
Census Block;06;037;9108.04;1023;2
Census Block;06;037;9108.04;1024;2
Census Block;06;037;9108.04;1025;2
Census Block;06;037;9108.04;1026;2
Census Block;06;037;9108.04;1027;2
Census Block;06;037;9108.04;1028;2
Census Block;06;037;9108.04;1029;2
Census Block;06;037;9108.04;1030;2
Census Block;06;037;9108.04;1031;2
Census Block;06;037;9108.04;1032;2
Census Block;06;037;9108.04;1033;1
Census Block;06;037;9108.04;1034;1
Census Block;06;037;9108.04;1035;2
Census Block;06;037;9108.04;1036;2
Census Block;06;037;9108.04;1037;2
Census Block;06;037;9108.04;1038;2
Census Block;06;037;9108.04;1039;2
Census Block;06;037;9108.04;1040;2
Census Block;06;037;9108.04;1041;2,5
Census Block;06;037;9108.04;1042;2
Census Block;06;037;9108.04;1043;1
Census Block;06;037;9108.04;1044;1
Census Block;06;037;9108.04;1045;2
Census Block;06;037;9108.04;1046;2
Census Block;06;037;9108.04;1047;1
Census Block;06;037;9108.04;1048;2
Census Block;06;037;9108.04;1049;2
Census Block;06;037;9108.04;1050;1
Census Block;06;037;9108.04;1051;2
Census Block;06;037;9108.04;1052;1
Census Block;06;037;9108.04;1053;2
Census Block;06;037;9108.04;1055;1
Census Block;06;037;9108.04;1056;2
Census Block;06;037;9108.04;1057;2
Census Block;06;037;9108.04;1058;2
Census Block;06;037;9108.04;1059;1,2
Census Block;06;037;9108.04;1060;1
Census Block;06;037;9108.04;1061;1
Census Block;06;037;9108.04;1062;1
Census Block;06;037;9108.04;1063;1
Census Block;06;037;9108.04;1064;1
Census Block;06;037;9108.04;1065;1
Census Block;06;037;9108.04;1066;1
Census Block;06;037;9108.04;1067;1
Census Block;06;037;9108.04;1068;1
Census Block;06;037;9108.04;1069;1
Census Block;06;037;9108.04;1070;1
Census Block;06;037;9108.04;1071;1
Census Block;06;037;9108.04;1072;1
Census Block;06;037;9108.04;1073;1
Census Block;06;037;9108.04;1074;1
Census Block;06;037;9108.04;1075;1
Census Block;06;037;9108.04;1076;1
Census Block;06;037;9108.04;1077;1
Census Block;06;037;9108.04;1078;1
Census Block;06;037;9108.04;1079;1
Census Block;06;037;9108.04;1080;1
Census Block;06;037;9108.04;1081;1
Census Block;06;037;9108.04;1082;1
Census Block;06;037;9108.04;1083;1
Census Block;06;037;9108.04;1084;1
Census Block;06;037;9108.04;1095;1
Census Block;06;037;9108.04;1097;1
Census Block;06;037;9108.04;1098;1
Census Block;06;037;9108.04;1099;1
