Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
"2019","Annual","Acton CDP","Not Adj","Not Prelim","3,600","3,500","100","3.3"
"2019","Annual","Adelanto city","Not Adj","Not Prelim","9,700","9,000","800","8.0"
"2019","Annual","Agoura Hills city","Not Adj","Not Prelim","11,600","11,100","500","3.9"
"2019","Annual","Alameda city","Not Adj","Not Prelim","41,400","40,300","1,100","2.6"
"2019","Annual","Alamo CDP","Not Adj","Not Prelim","6,600","6,500","100","1.8"
"2019","Annual","Albany city","Not Adj","Not Prelim","9,900","9,600","200","2.5"
"2019","Annual","Alhambra city","Not Adj","Not Prelim","46,600","44,800","1,700","3.7"
"2019","Annual","Aliso Viejo CDP","Not Adj","Not Prelim","30,600","29,800","800","2.5"
"2019","Annual","Alondra Park CDP","Not Adj","Not Prelim","4,100","3,800","300","6.2"
"2019","Annual","Alpaugh CDP","Not Adj","Not Prelim","400","300","100","21.3"
"2019","Annual","Alpine Village CDP","Not Adj","Not Prelim","90","90","0","0.0"
"2019","Annual","Altadena CDP","Not Adj","Not Prelim","23,900","23,100","800","3.3"
"2019","Annual","Alta Sierra CDP","Not Adj","Not Prelim","3,680","3,620","60","1.7"
"2019","Annual","Alturas city","Not Adj","Not Prelim","1,080","1,000","90","8.0"
"2019","Annual","Amador City city","Not Adj","Not Prelim","80","70","0","5.3"
"2019","Annual","American Canyon city","Not Adj","Not Prelim","10,300","9,900","400","3.7"
"2019","Annual","Anaheim city","Not Adj","Not Prelim","171,900","166,800","5,100","3.0"
"2019","Annual","Anderson city","Not Adj","Not Prelim","4,200","4,000","200","4.3"
"2019","Annual","Angels City city","Not Adj","Not Prelim","1,860","1,850","0","0.1"
"2019","Annual","Angwin CDP","Not Adj","Not Prelim","2,100","2,000","100","2.6"
"2019","Annual","Antioch city","Not Adj","Not Prelim","50,800","48,800","2,000","4.0"
"2019","Annual","Apple Valley town","Not Adj","Not Prelim","29,200","27,900","1,300","4.5"
"2019","Annual","Aptos CDP","Not Adj","Not Prelim","3,300","3,300","100","1.6"
"2019","Annual","Aptos Hills Larkin Valley CDP","Not Adj","Not Prelim","1,000","1,000","100","7.6"
"2019","Annual","Arbuckle CDP","Not Adj","Not Prelim","2,040","1,700","330","16.4"
"2019","Annual","Arcadia city","Not Adj","Not Prelim","30,000","29,000","1,000","3.4"
"2019","Annual","Arcata city","Not Adj","Not Prelim","9,600","9,100","500","5.5"
"2019","Annual","Arden Arcade CDP","Not Adj","Not Prelim","46,300","44,100","2,200","4.8"
"2019","Annual","Armona CDP","Not Adj","Not Prelim","1,400","1,300","100","10.3"
"2019","Annual","Arnold CDP","Not Adj","Not Prelim","1,130","1,070","60","4.9"
"2019","Annual","Aromas CDP (Monterey Co)","Not Adj","Not Prelim","1,600","1,600","100","4.6"
"2019","Annual","Arroyo Grande city","Not Adj","Not Prelim","9,300","9,000","200","2.5"
"2019","Annual","Artesia city","Not Adj","Not Prelim","8,000","7,700","300","3.6"
"2019","Annual","Arvin city","Not Adj","Not Prelim","9,000","8,400","700","7.3"
"2019","Annual","Ashland CDP","Not Adj","Not Prelim","11,200","10,700","500","4.7"
"2019","Annual","Atascadero city","Not Adj","Not Prelim","15,400","15,000","400","2.6"
"2019","Annual","Atherton town","Not Adj","Not Prelim","3,200","3,100","100","2.2"
"2019","Annual","Atwater city","Not Adj","Not Prelim","12,000","11,100","900","7.2"
"2019","Annual","Auberry CDP","Not Adj","Not Prelim","1,000","1,000","0","4.3"
"2019","Annual","Auburn city","Not Adj","Not Prelim","7,000","6,700","200","3.4"
"2019","Annual","August CDP","Not Adj","Not Prelim","3,400","3,000","400","11.6"
"2019","Annual","Avalon city","Not Adj","Not Prelim","2,100","2,100","0","0.4"
"2019","Annual","Avenal city","Not Adj","Not Prelim","3,700","3,200","500","12.5"
"2019","Annual","Avery CDP","Not Adj","Not Prelim","300","280","30","8.3"
"2019","Annual","Avocado Heights CDP","Not Adj","Not Prelim","7,400","7,000","400","5.5"
"2019","Annual","Azusa city","Not Adj","Not Prelim","25,300","24,300","1,100","4.2"
"2019","Annual","Bakersfield city","Not Adj","Not Prelim","178,900","169,500","9,400","5.3"
"2019","Annual","Baldwin Park city","Not Adj","Not Prelim","34,700","33,100","1,600","4.7"
"2019","Annual","Banning city","Not Adj","Not Prelim","11,300","10,700","600","5.0"
"2019","Annual","Barstow city","Not Adj","Not Prelim","8,900","8,400","500","5.2"
"2019","Annual","Bay Point CDP","Not Adj","Not Prelim","11,900","11,300","600","5.4"
"2019","Annual","Beale AFB CDP","Not Adj","Not Prelim","200","200","0","8.7"
"2019","Annual","Bear Valley CDP","Not Adj","Not Prelim","30","30","0","0.0"
"2019","Annual","Bear Valley Springs CDP","Not Adj","Not Prelim","1,800","1,800","100","3.8"
"2019","Annual","Beaumont city","Not Adj","Not Prelim","23,000","22,300","800","3.3"
"2019","Annual","Beckwourth CDP","Not Adj","Not Prelim","120","120","0","0.0"
"2019","Annual","Belden CDP","Not Adj","Not Prelim","0","0","0","0.0"
"2019","Annual","Bell city","Not Adj","Not Prelim","15,200","14,500","700","4.7"
"2019","Annual","Bellflower city","Not Adj","Not Prelim","36,600","34,800","1,800","5.0"
"2019","Annual","Bell Gardens city","Not Adj","Not Prelim","18,200","17,300","800","4.4"
"2019","Annual","Belmont city","Not Adj","Not Prelim","16,900","16,500","400","2.1"
"2019","Annual","Benicia city","Not Adj","Not Prelim","14,900","14,500","400","2.7"
"2019","Annual","Ben Lomond CDP","Not Adj","Not Prelim","3,800","3,700","100","2.2"
"2019","Annual","Berkeley city","Not Adj","Not Prelim","62,800","61,100","1,700","2.8"
"2019","Annual","Bermuda Dunes CDP","Not Adj","Not Prelim","3,500","3,400","100","3.7"
"2019","Annual","Bertsch Oceanview CDP","Not Adj","Not Prelim","750","640","110","14.4"
"2019","Annual","Bethel Island CDP","Not Adj","Not Prelim","800","800","0","2.3"
"2019","Annual","Beverly Hills city","Not Adj","Not Prelim","18,400","17,700","700","3.8"
"2019","Annual","Big Bear City CDP","Not Adj","Not Prelim","5,800","5,600","100","2.3"
"2019","Annual","Big Bear Lake city","Not Adj","Not Prelim","2,300","2,300","0","1.4"
"2019","Annual","Biggs city","Not Adj","Not Prelim","900","900","0","2.9"
"2019","Annual","Big Pine CDP","Not Adj","Not Prelim","710","680","30","4.7"
"2019","Annual","Big River CDP","Not Adj","Not Prelim","400","400","0","5.9"
