econdata
Year,Area,Labor Force,Employment,Unemployment,Unemployment Rate
2019,Acton CDP,"3,600","3,500",100,3.3
2019,Adelanto city,"9,700","9,000",800,8.0
2019,Agoura Hills city,"11,600","11,100",500,3.9
2019,Alameda city,"41,400","40,300","1,100",2.6
2019,Alamo CDP,"6,600","6,500",100,1.8
2019,Albany city,"9,900","9,600",200,2.5
2019,Alhambra city,"46,600","44,800","1,700",3.7
2019,Aliso Viejo CDP,"30,600","29,800",800,2.5
2019,Alondra Park CDP,"4,100","3,800",300,6.2
2019,Alpaugh CDP,400,300,100,21.3
2019,Alpine Village CDP,90,90,0,0.0
2019,Altadena CDP,"23,900","23,100",800,3.3
2019,Alta Sierra CDP,"3,680","3,620",60,1.7
2019,Alturas city,"1,080","1,000",90,8.0
2019,Amador City city,80,70,0,5.3
2019,American Canyon city,"10,300","9,900",400,3.7
2019,Anaheim city,"171,900","166,800","5,100",3.0
2019,Anderson city,"4,200","4,000",200,4.3
2019,Angels City city,"1,860","1,850",0,0.1
2019,Angwin CDP,"2,100","2,000",100,2.6
2019,Antioch city,"50,800","48,800","2,000",4.0
2019,Apple Valley town,"29,200","27,900","1,300",4.5
2019,Aptos CDP,"3,300","3,300",100,1.6
2019,Aptos Hills Larkin Valley CDP,"1,000","1,000",100,7.6
2019,Arbuckle CDP,"2,040","1,700",330,16.4
2019,Arcadia city,"30,000","29,000","1,000",3.4
2019,Arcata city,"9,600","9,100",500,5.5
2019,Arden Arcade CDP,"46,300","44,100","2,200",4.8
2019,Armona CDP,"1,400","1,300",100,10.3
2019,Arnold CDP,"1,130","1,070",60,4.9
2019,Aromas CDP (Monterey Co),"1,600","1,600",100,4.6
2019,Arroyo Grande city,"9,300","9,000",200,2.5
2019,Artesia city,"8,000","7,700",300,3.6
2019,Arvin city,"9,000","8,400",700,7.3
2019,Ashland CDP,"11,200","10,700",500,4.7
2019,Atascadero city,"15,400","15,000",400,2.6
2019,Atherton town,"3,200","3,100",100,2.2
2019,Atwater city,"12,000","11,100",900,7.2
2019,Auberry CDP,"1,000","1,000",0,4.3
2019,Auburn city,"7,000","6,700",200,3.4
2019,August CDP,"3,400","3,000",400,11.6
2019,Avalon city,"2,100","2,100",0,0.4
2019,Avenal city,"3,700","3,200",500,12.5
2019,Avery CDP,300,280,30,8.3
2019,Avocado Heights CDP,"7,400","7,000",400,5.5
2019,Azusa city,"25,300","24,300","1,100",4.2
2019,Bakersfield city,"178,900","169,500","9,400",5.3
2019,Baldwin Park city,"34,700","33,100","1,600",4.7
2019,Banning city,"11,300","10,700",600,5.0
2019,Barstow city,"8,900","8,400",500,5.2
2019,Bay Point CDP,"11,900","11,300",600,5.4
2019,Beale AFB CDP,200,200,0,8.7
2019,Bear Valley CDP,30,30,0,0.0
2019,Bear Valley Springs CDP,"1,800","1,800",100,3.8
2019,Beaumont city,"23,000","22,300",800,3.3
2019,Beckwourth CDP,120,120,0,0.0
2019,Belden CDP,0,0,0,0.0
2019,Bell city,"15,200","14,500",700,4.7
2019,Bellflower city,"36,600","34,800","1,800",5.0
2019,Bell Gardens city,"18,200","17,300",800,4.4
2019,Belmont city,"16,900","16,500",400,2.1
2019,Benicia city,"14,900","14,500",400,2.7
2019,Ben Lomond CDP,"3,800","3,700",100,2.2
2019,Berkeley city,"62,800","61,100","1,700",2.8
2019,Bermuda Dunes CDP,"3,500","3,400",100,3.7
2019,Bertsch Oceanview CDP,750,640,110,14.4
2019,Bethel Island CDP,800,800,0,2.3
2019,Beverly Hills city,"18,400","17,700",700,3.8
2019,Big Bear City CDP,"5,800","5,600",100,2.3
2019,Big Bear Lake city,"2,300","2,300",0,1.4
2019,Biggs city,900,900,0,2.9
2019,Big Pine CDP,710,680,30,4.7
2019,Big River CDP,400,400,0,5.9
2019,Biola CDP,600,500,100,21.3
2019,Bishop city,"1,640","1,590",50,3.0
2019,Bloomington CDP,"10,200","9,800",400,4.3
2019,Blue Lake city,500,500,0,3.5
2019,Bluewater CDP,0,0,0,6.3
2019,Blythe city,"5,700","5,500",300,4.4
2019,Bodega Bay CDP,500,500,0,1.8
2019,Bodfish CDP,400,400,0,8.2
2019,Bonadelle Ranchos Madera Ranchos CDP,"4,200","4,000",200,4.8
2019,Bonita CDP,"6,100","5,800",300,4.9
2019,Bootjack CDP,330,310,20,6.9
2019,Boron CDP,800,800,0,5.0
2019,Boronda CDP,500,400,200,31.8
2019,Bostonia CDP,"8,000","7,600",500,6.1
2019,Boulder Creek CDP,"2,600","2,500",200,5.9
2019,Boyes Hot Springs CDP,"4,100","4,100",100,1.7
2019,Bradbury city,500,500,0,1.3
2019,Bradley CDP,100,100,0,0.0
2019,Brawley city,"10,100","8,700","1,500",14.4
2019,Brea city,"23,200","22,600",600,2.6
2019,Brentwood city,"29,500","28,500","1,000",3.3
2019,Bret Harte CDP,"2,000","1,800",200,12.4
2019,Brisbane city,"2,900","2,900",100,2.2
2019,Broadmoor CDP,"3,600","3,400",100,4.1
2019,Bucks Lake CDP,20,20,0,0.0
2019,Buellton city,"2,800","2,700",0,1.5
2019,Buena Park city,"40,400","39,100","1,300",3.1
2019,Burbank city,"59,300","56,400","3,000",5.0
2019,Burlingame city,"18,500","18,200",400,1.9
2019,Burney CDP,"1,300","1,200",100,4.9
2019,Buttonwillow CDP,600,500,0,8.1
2019,Byron CDP,600,600,0,5.8
2019,Bystrom CDP,"1,300","1,300",100,6.4
2019,Cabazon CDP,"1,300","1,300",0,3.5
2019,Calabasas city,"12,300","11,900",300,2.7
2019,Calexico city,"18,500","12,700","5,800",31.2
2019,California City city,"4,600","3,800",700,15.5
2019,Calimesa city,"3,600","3,400",100,4.2
2019,Calipatria city,"1,200",900,300,22.8
2019,Calistoga city,"2,700","2,600",100,3.8
2019,Calwa CDP,900,800,100,13.4
2019,Camarillo city,"34,300","33,300","1,000",2.9
2019,Cambria CDP,"2,700","2,600",100,3.7
2019,Cameron Park CDP,"9,800","9,500",300,3.2
2019,Campbell city,"26,800","26,200",600,2.3
2019,Cantua Creek CDP,100,100,0,6.7
2019,Canyondam CDP,40,10,20,66.7
2019,Canyon Lake city,"5,400","5,300",100,2.1
2019,Capitola city,"5,700","5,600",100,1.4
2019,Carlsbad city,"55,400","53,800","1,600",2.9
2019,Carmel by the Sea city,"1,600","1,600",0,0.2
2019,Carmel Valley Village CDP,"2,600","2,300",200,9.4
2019,Carmichael CDP,"30,800","29,700","1,100",3.7
2019,Carpinteria city,"7,200","7,000",200,3.1
2019,Carson city,"46,300","44,100","2,200",4.8
2019,Cartago CDP,0,0,0,0.0
2019,Caruthers CDP,"1,200","1,100",100,7.0
2019,Casa Conejo CDP,"1,700","1,600",100,5.8
2019,Casa de Oro Mount Helix CDP,"9,800","9,500",300,3.0
2019,Castro Valley CDP,"31,700","30,900",800,2.7
2019,Castroville CDP,"3,500","3,100",400,11.6
2019,Cathedral City city,"26,400","25,400","1,000",3.8
2019,Cayucos CDP,"1,300","1,300",0,2.8
2019,Ceres city,"21,600","20,100","1,500",7.1
2019,Cerritos city,"25,500","24,600",900,3.6
2019,Challenge Brownsville CDP,300,300,0,0.0
2019,Channel Islands Beach CDP,"1,700","1,500",200,10.1
2019,Charter Oak CDP,"5,000","4,700",300,5.3
2019,Cherryland CDP,"7,400","7,000",400,5.3
2019,Cherry Valley CDP,"3,300","3,300",100,2.5
2019,Chester CDP,990,930,60,6.5
2019,Chico city,"47,500","45,500","1,900",4.1
2019,Chilcoot Vinton CDP,10,0,10,100.0
2019,China Lake Acres CDP,600,600,0,6.6
2019,Chinese Camp CDP,30,30,0,0.0
2019,Chino city,"43,600","42,200","1,400",3.2
2019,Chino Hills city,"45,700","44,500","1,200",2.5
2019,Chowchilla city,"4,500","4,200",300,6.1
2019,Chualar CDP,700,600,0,6.9
2019,Chula Vista city,"123,600","119,300","4,300",3.5
2019,Citrus CDP,"5,400","5,200",200,3.1
2019,Citrus Heights city,"43,700","42,200","1,500",3.5
2019,Claremont city,"17,300","16,600",700,4.0
2019,Clayton city,"5,900","5,800",100,1.4
2019,Clearlake city,"6,110","5,520",590,9.6
2019,Clearlake Oaks CDP,790,740,60,7.1
2019,Clio CDP,40,40,0,0.0
2019,Cloverdale city,"4,400","4,400",100,1.5
2019,Clovis city,"54,700","52,700","2,100",3.8
2019,Clyde CDP,400,400,0,2.2
2019,Coachella city,"20,100","18,100","2,000",10.1
2019,Coalinga city,"6,400","5,900",500,7.7
2019,Cobb CDP,510,500,20,3.3
2019,Colfax city,"1,000",900,0,4.8
2019,Colton city,"24,700","23,700","1,000",4.0
2019,Columbia CDP,780,700,80,10.4
2019,Colusa city,"3,020","2,700",320,10.7
2019,Commerce city,"5,900","5,600",300,5.3
2019,Compton city,"39,300","36,900","2,400",6.1
2019,Concord city,"66,000","64,100","1,900",2.9
2019,Concow CDP,200,200,0,11.3
2019,Copperopolis CDP,"2,380","2,280",100,4.1
2019,Corcoran city,"4,500","3,800",700,15.4
2019,Corning city,"2,990","2,790",190,6.5
2019,Corona city,"84,700","82,100","2,600",3.1
2019,Coronado city,"7,700","7,400",200,3.0
2019,Corralitos CDP,"1,200","1,200",100,4.3
2019,Corte Madera town,"5,600","5,400",200,2.9
2019,Costa Mesa city,"66,200","64,500","1,700",2.5
2019,Cotati city,"4,300","4,200",100,2.8
2019,Coto de Caza CDP,"7,700","7,500",200,2.6
2019,Cottonwood CDP,"1,400","1,300",100,4.5
2019,Country Club CDP,"4,600","4,200",500,9.9
2019,Covelo CDP,420,400,20,5.0
2019,Covina city,"24,100","23,000","1,100",4.7
2019,Crescent City city,"1,470","1,400",70,4.7
2019,Crescent Mills CDP,120,120,0,0.0
2019,Crestline CDP,"4,400","4,300",100,2.4
2019,C Road CDP,70,60,10,10.8
2019,Crockett CDP,"1,700","1,600",100,4.5
2019,Cromberg CDP,90,90,0,0.0
2019,Cudahy city,"10,100","9,700",400,4.4
2019,Culver City city,"23,100","22,200","1,000",4.1
2019,Cupertino city,"29,800","29,100",700,2.4
2019,Cutler CDP,"2,500","2,200",300,10.3
2019,Cypress city,"25,200","24,400",700,2.9
2019,Daly City city,"65,700","64,300","1,400",2.1
2019,Dana Point city,"18,800","18,300",500,2.6
2019,Danville town,"20,800","20,200",600,2.7
2019,Darwin CDP,10,10,0,0.0
2019,Davis city,"35,700","34,800",900,2.6
2019,Day Valley CDP,"1,600","1,500",100,4.5
2019,Deer Park CDP,400,400,0,4.6
2019,Del Aire CDP,"5,500","5,300",200,3.6
2019,Delano city,"22,200","17,100","5,100",22.9
2019,Delhi CDP,"5,300","4,900",400,7.6
2019,Delleker CDP,170,170,0,0.0
2019,Del Mar city,"2,300","2,300",100,2.3
2019,Del Monte Forest CDP,"1,700","1,600",100,7.2
2019,Del Rey CDP,600,600,100,9.2
2019,Del Rey Oaks city,"1,000",900,100,6.8
2019,Denair CDP,"2,400","2,300",100,5.6
2019,Derby Acres CDP,100,100,0,1.7
2019,Desert Hot Springs city,"11,700","11,000",700,5.6
2019,Desert View Highlands CDP,"1,100","1,000",100,7.1
2019,Diablo CDP,100,100,0,0.0
2019,Diamond Bar city,"30,500","29,400","1,100",3.6
2019,Diamond Springs CDP,"5,300","5,000",200,4.6
2019,Dinuba city,"10,700","9,300","1,400",13.1
2019,Discovery Bay CDP,"7,900","7,600",200,2.8
2019,Dixon city,"9,700","9,400",400,3.8
2019,Dixon Lane Meadow Creek CDP,"1,240","1,190",50,3.9
2019,Dollar Point CDP,500,500,0,2.1
2019,Dorrington CDP,80,70,0,5.3
2019,Dos Palos city,"2,200","2,000",100,6.1
2019,Downey city,"57,500","55,200","2,400",4.1
2019,Duarte city,"11,100","10,500",600,5.4
2019,Dublin city,"32,500","31,700",800,2.5
2019,Ducor CDP,200,200,0,8.8
2019,Dunsmuir city,640,620,30,4.0
2019,Durham CDP,"2,800","2,800",100,2.4
2019,Dustin Acres CDP,200,200,0,3.5
2019,Earlimart CDP,"3,900","3,400",600,14.6
2019,East Foothills CDP,"3,700","3,600",100,1.5
2019,East Hemet CDP,"8,300","7,700",500,6.6
2019,East Los Angeles CDP,"56,000","51,900","4,100",7.3
2019,East Oakdale CDP,"1,600","1,500",100,5.1
2019,Easton CDP,"1,100","1,000",100,7.7
2019,East Orosi CDP,400,300,100,29.1
2019,East Palo Alto city,"15,100","14,800",400,2.4
2019,East Pasadena CDP,"3,100","3,100",100,1.8
2019,East Porterville CDP,"2,600","2,000",600,22.3
2019,East Quincy CDP,"1,230","1,220",10,1.1
2019,East Richmond Heights CDP,"1,900","1,900",0,1.4
2019,East San Gabriel CDP,"7,700","7,500",100,1.7
2019,East Shore CDP,120,40,80,68.3
2019,East Sonora CDP,930,930,0,0.0
2019,Eastvale City city,"32,800","31,800","1,000",2.9
2019,Edwards AFB CDP,400,400,0,8.9
2019,El Cajon city,"45,100","43,500","1,600",3.6
2019,El Centro city,"18,400","15,900","2,500",13.5
2019,El Cerrito city,"13,900","13,600",300,2.4
2019,El Cerrito CDP,"2,400","2,300",100,2.6
2019,El Dorado Hills CDP,"22,500","21,900",600,2.8
2019,El Granada CDP,"3,600","3,500",100,1.9
2019,Elk Grove CDP,"83,100","80,500","2,600",3.1
2019,Elkhorn CDP,700,600,100,9.4
2019,Elmira CDP,100,100,0,3.5
2019,El Monte city,"51,900","49,700","2,200",4.2
2019,El Paso de Robles (Paso Robles) city,"16,300","15,900",400,2.7
2019,El Rio CDP,"2,800","2,700",200,6.4
2019,El Segundo city,"9,500","9,000",500,5.2
2019,El Sobrante CDP,"7,500","7,200",300,3.8
2019,El Verano CDP,"1,900","1,900",0,1.2
2019,Emeryville city,"7,500","7,300",200,2.1
2019,Empire CDP,"1,600","1,500",100,4.1
2019,Encinitas city,"33,300","32,500",800,2.4
2019,Escalon city,"3,800","3,700",100,3.1
2019,Escondido city,"69,600","67,400","2,100",3.1
2019,Esparto CDP,"1,900","1,800",100,3.9
2019,Eureka city,"12,700","12,200",400,3.5
2019,Exeter city,"4,700","4,200",400,9.5
2019,Fairfax town,"4,700","4,600",100,2.1
2019,Fairfield city,"53,700","51,700","1,900",3.6
2019,Fair Oaks CDP,"15,000","14,600",400,2.5
2019,Fairview CDP,"5,300","5,300",100,1.4
2019,Fallbrook CDP,"14,300","13,900",400,3.0
2019,Fall River Mills CDP,100,100,0,0.0
2019,Farmersville city,"5,000","4,400",600,11.6
2019,Farmington CDP,0,0,0,0.0
2019,Fellows CDP,0,0,0,11.1
2019,Felton CDP,"2,300","2,200",200,6.6
2019,Ferndale city,600,600,0,1.3
2019,Fetters Hot Springs Agua Caliente CDP,"2,500","2,500",0,1.2
2019,Fillmore city,"7,300","7,100",200,3.1
2019,Firebaugh city,"3,800","3,300",500,12.2
2019,Florence Graham CDP,"27,800","26,200","1,700",6.0
2019,Florin CDP,"20,500","19,200","1,300",6.3
2019,Folsom city,"37,600","36,600","1,000",2.7
2019,Fontana city,"99,600","96,100","3,500",3.6
2019,Foothill Farms CDP,"15,200","14,600",600,3.9
2019,Ford City CDP,"1,900","1,700",200,8.6
2019,Foresthill CDP,700,700,0,2.8
2019,Forest Meadows CDP,550,510,40,7.0
2019,Forestville CDP,"2,100","2,000",100,3.1
2019,Fort Bragg city,"3,170","3,040",120,3.9
2019,Fortuna city,"5,200","5,000",200,3.1
2019,Foster City city,"20,200","19,800",400,2.0
2019,Fountain Valley city,"28,400","27,600",800,2.8
2019,Fowler city,"3,000","2,800",200,5.5
2019,Frazier Park CDP,"1,200","1,100",100,8.3
2019,Freedom CDP,"1,900","1,800",100,7.2
2019,Fremont city,"120,700","117,700","3,000",2.5
2019,French Camp CDP,"1,100","1,100",100,6.3
2019,Fresno city,"234,600","221,200","13,400",5.7
2019,Friant CDP,200,200,0,12.2
2019,Fullerton city,"70,500","68,500","2,000",2.9
2019,Furnace Creek CDP,120,120,0,0.8
2019,Galt city,"11,700","11,100",600,5.1
2019,Gardena city,"30,400","29,000","1,400",4.5
2019,Garden Acres CDP,"4,500","4,200",400,8.0
2019,Garden Grove city,"81,900","79,400","2,500",3.0
2019,Georgetown CDP,"1,200","1,100",100,7.8
2019,Gilroy city,"30,500","29,600",900,3.0
2019,Glendale city,"103,900","99,700","4,200",4.1
2019,Glendora city,"26,200","25,200","1,000",3.9
2019,Glen Ellen CDP,500,500,0,0.0
2019,Golden Hills CDP,"4,500","4,300",200,3.7
2019,Gold River CDP,"3,400","3,300",100,4.1
2019,Goleta City,"17,200","16,800",400,2.3
2019,Gonzales city,"4,200","4,100",100,1.2
2019,Goshen CDP,"1,500","1,400",100,9.8
2019,Graeagle CDP,210,200,10,6.7
2019,Grand Terrace city,"6,600","6,300",300,3.8
2019,Granite Bay CDP,"10,600","10,200",300,3.3
2019,Grass Valley city,"5,850","5,600",240,4.2
2019,Graton CDP,800,700,0,5.2
2019,Greenfield city,"8,200","7,800",400,5.3
2019,Greenhorn CDP,140,120,20,11.9
2019,Green Valley CDP,800,800,0,0.0
2019,Greenville CDP,450,380,80,16.6
2019,Gridley city,"2,600","2,500",200,5.8
2019,Grover Beach city,"6,900","6,600",200,3.6
2019,Guadalupe city,"3,300","3,200",100,3.1
2019,Guerneville CDP,"2,500","2,400",100,2.9
2019,Gustine city,"2,800","2,500",200,8.4
2019,Hacienda Heights CDP,"26,300","25,400",900,3.5
2019,Half Moon Bay city,"7,700","7,600",100,1.6
2019,Hamilton Branch CDP,230,200,30,13.7
2019,Hamilton City CDP,"1,030",960,70,6.3
2019,Hanford city,"25,100","23,400","1,700",6.7
2019,Hawaiian Gardens city,"6,400","6,100",300,4.7
2019,Hawthorne city,"44,900","42,900","2,000",4.4
2019,Hayfork CDP,960,940,10,1.5
2019,Hayward city,"78,000","75,500","2,500",3.2
2019,Healdsburg city,"6,100","5,900",100,2.4
2019,Heber CDP,"1,900","1,500",400,18.8
2019,Hemet city,"29,700","28,000","1,700",5.7
2019,Hercules city,"13,900","13,500",400,2.8
2019,Hermosa Beach city,"12,600","12,400",300,2.1
2019,Hesperia city,"36,000","34,200","1,800",5.1
2019,Hidden Hills city,600,600,0,3.6
2019,Hidden Valley Lake CDP,"3,140","3,090",50,1.5
2019,Highgrove CDP,"2,500","2,300",200,6.5
2019,Highland city,"24,800","23,800","1,000",3.8
2019,Hillsborough town,"5,200","5,100",100,2.1
2019,Hilmar Irwin CDP,"2,800","2,700",100,2.7
2019,Hollister city,"20,100","19,000","1,100",5.7
2019,Holtville city,"2,600","2,000",500,19.9
2019,Home Garden CDP,600,500,100,12.9
2019,Home Gardens CDP,"5,300","5,100",200,3.6
2019,Homeland CDP,"2,900","2,800",100,4.5
2019,Hughson city,"3,400","3,300",200,4.6
2019,Huntington Beach city,"109,200","106,200","3,000",2.8
2019,Huntington Park city,"26,600","25,500","1,200",4.4
2019,Huron city,"2,500","2,300",300,10.7
2019,Hydesville CDP,500,500,0,0.4
2019,Idyllwild Pine Cove CDP,"1,300","1,300",0,2.5
2019,Imperial city,"8,000","6,700","1,300",16.0
2019,Imperial Beach city,"12,000","11,500",500,4.0
2019,Independence CDP,220,220,10,2.3
2019,Indian Falls CDP,0,0,0,0.0
2019,Indian Wells city,"1,800","1,800",100,3.5
2019,Indio city,"41,100","39,000","2,200",5.3
2019,Industry city,200,100,0,5.2
2019,Inglewood city,"52,900","50,100","2,800",5.3
2019,Interlaken CDP,"3,500","3,300",200,5.1
2019,Inverness CDP,500,500,0,1.0
2019,Inyokern CDP,300,300,0,0.0
2019,Ione city,"2,140","2,060",80,3.6
2019,Iron Horse CDP,60,60,0,0.0
2019,Irvine city,"148,400","144,400","3,900",2.6
2019,Irwindale city,700,600,0,6.6
2019,Isla Vista CDP,"12,500","11,500","1,100",8.5
2019,Isleton city,300,300,0,3.5
2019,Ivanhoe CDP,"1,800","1,600",200,10.8
2019,Jackson city,"2,170","2,100",70,3.1
2019,Jamestown CDP,"1,220","1,130",90,7.3
2019,Johannesburg CDP,0,0,0,0.0
2019,Johnsville CDP,0,0,0,0.0
2019,Joshua Tree CDP,"2,400","2,300",200,6.2
2019,Jurupa Valley city,"49,000","47,200","1,800",3.7
2019,Keddie CDP,30,20,10,46.4
2019,Keeler CDP,10,10,0,0.0
2019,Keene CDP,200,100,0,7.9
2019,Kelseyville CDP,"1,490","1,440",50,3.3
2019,Kennedy CDP,"1,400","1,300",100,9.5
2019,Kensington CDP,"2,800","2,800",100,1.9
2019,Kerman city,"6,800","6,400",400,6.2
2019,Kernville CDP,500,500,0,0.0
2019,Kettleman City CDP,600,500,100,11.6
2019,Keyes CDP,"2,700","2,500",200,6.3
2019,King City city,"6,400","6,200",200,3.4
2019,Kings Beach CDP,"1,800","1,800",0,1.2
2019,Kingsburg city,"5,700","5,400",300,5.0
2019,Kirkwood CDP,80,80,0,2.5
2019,Klamath CDP,220,200,20,9.4
2019,Knightsen CDP,600,600,0,1.7
2019,La Canada Flintridge city,"9,600","9,400",200,2.0
2019,La Crescenta Montrose CDP,"10,000","9,600",300,3.2
2019,Ladera Heights CDP,"3,500","3,300",200,5.5
2019,Lafayette city,"12,700","12,400",300,2.4
2019,Laguna Beach city,"12,600","12,300",300,2.5
2019,Laguna Hills city,"17,100","16,700",400,2.4
2019,Laguna Niguel city,"35,700","34,800","1,000",2.7
2019,Laguna Woods city,"3,200","3,100",100,1.8
2019,La Habra city,"31,100","30,200",900,2.9
2019,La Habra Heights city,"2,700","2,600",100,3.6
2019,Lake Almanor Country Club CDP,90,90,0,0.0
2019,Lake Almanor Peninsula CDP,100,100,0,0.0
2019,Lake Almanor West CDP,30,20,10,22.6
2019,Lake Arrowhead CDP,"4,300","4,200",200,4.0
2019,Lake Elsinore city,"30,800","29,600","1,200",3.9
2019,Lake Forest city,"49,300","48,100","1,200",2.5
2019,Lake Isabella CDP,"1,200","1,100",100,10.7
2019,Lakeland Village CDP,"5,800","5,400",400,6.5
2019,Lake Los Angeles CDP,"3,700","3,400",300,8.5
2019,Lake Nacimiento CDP,"1,300","1,200",0,2.5
2019,Lake of the Pines CDP,"2,000","1,900",100,4.9
2019,Lake of the Woods CDP,300,200,0,7.5
2019,Lakeport city,"2,540","2,470",70,2.7
2019,Lakeside CDP,"10,700","10,200",500,4.2
2019,Lakeview CDP,"1,200","1,100",100,4.5
2019,Lake Wildwood CDP,"1,970","1,960",20,0.8
2019,Lakewood city,"43,100","41,300","1,800",4.1
2019,La Mesa city,"30,600","29,600","1,000",3.1
2019,La Mirada city,"24,300","23,300","1,000",4.1
2019,Lamont CDP,"6,900","6,400",500,7.1
