"ELECTION","TYPE","COUNTY","FIPS","SRPREC_KEY","SRPREC","CITY","N_IN_CITY","N"
"g16","srprec",1,"06001","06001200100","200100","BERKELEY",759,760
"g16","srprec",1,"06001","06001200200","200200","BERKELEY",711,711
"g16","srprec",1,"06001","06001200300","200300","BERKELEY",584,584
"g16","srprec",1,"06001","06001200600","200600","BERKELEY",658,658
"g16","srprec",1,"06001","06001200700","200700","BERKELEY",682,682
"g16","srprec",1,"06001","06001200800","200800","BERKELEY",641,641
"g16","srprec",1,"06001","06001201000","201000","BERKELEY",638,638
"g16","srprec",1,"06001","06001201100","201100","BERKELEY",682,682
"g16","srprec",1,"06001","06001201300","201300","BERKELEY",669,669
"g16","srprec",1,"06001","06001201400","201400","BERKELEY",711,711
"g16","srprec",1,"06001","06001201410","201410","BERKELEY",579,580
"g16","srprec",1,"06001","06001201500","201500","BERKELEY",644,644
"g16","srprec",1,"06001","06001201700","201700","BERKELEY",729,730
"g16","srprec",1,"06001","06001201710","201710","BERKELEY",1101,1101
"g16","srprec",1,"06001","06001201800","201800","BERKELEY",837,837
"g16","srprec",1,"06001","06001201900","201900","BERKELEY",441,441
"g16","srprec",1,"06001","06001202010","202010","BERKELEY",264,264
"g16","srprec",1,"06001","06001202110","202110","BERKELEY",1151,1152
"g16","srprec",1,"06001","06001202310","202310","BERKELEY",878,878
"g16","srprec",1,"06001","06001202500","202500","BERKELEY",740,741
"g16","srprec",1,"06001","06001202520","202520","BERKELEY",895,895
"g16","srprec",1,"06001","06001202540","202540","BERKELEY",1030,1031
"g16","srprec",1,"06001","06001202600","202600","BERKELEY",859,861
"g16","srprec",1,"06001","06001202620","202620","BERKELEY",760,760
"g16","srprec",1,"06001","06001202710","202710","BERKELEY",785,785
"g16","srprec",1,"06001","06001202900","202900","BERKELEY",639,639
"g16","srprec",1,"06001","06001203100","203100","BERKELEY",724,724
"g16","srprec",1,"06001","06001203200","203200","BERKELEY",526,567
"g16","srprec",1,"06001","06001203300","203300","BERKELEY",739,762
"g16","srprec",1,"06001","06001203400","203400","BERKELEY",657,657
"g16","srprec",1,"06001","06001203500","203500","BERKELEY",1302,1302
"g16","srprec",1,"06001","06001203800","203800","BERKELEY",914,914
"g16","srprec",1,"06001","06001204000","204000","BERKELEY",271,271
"g16","srprec",1,"06001","06001204100","204100","BERKELEY",515,515
"g16","srprec",1,"06001","06001204210","204210","BERKELEY",912,912
"g16","srprec",1,"06001","06001204220","204220","BERKELEY",683,684
"g16","srprec",1,"06001","06001204230","204230","BERKELEY",617,617
"g16","srprec",1,"06001","06001204240","204240","BERKELEY",600,600
"g16","srprec",1,"06001","06001204300","204300","BERKELEY",798,798
"g16","srprec",1,"06001","06001204310","204310","BERKELEY",838,838
"g16","srprec",1,"06001","06001204510","204510","BERKELEY",848,849
"g16","srprec",1,"06001","06001204600","204600","BERKELEY",766,766
"g16","srprec",1,"06001","06001204900","204900","BERKELEY",694,694
"g16","srprec",1,"06001","06001204910","204910","BERKELEY",850,850
"g16","srprec",1,"06001","06001205000","205000","BERKELEY",676,676
"g16","srprec",1,"06001","06001205100","205100","BERKELEY",768,768
"g16","srprec",1,"06001","06001205200","205200","BERKELEY",817,817
"g16","srprec",1,"06001","06001205500","205500","BERKELEY",778,778
"g16","srprec",1,"06001","06001205600","205600","BERKELEY",1164,1164
"g16","srprec",1,"06001","06001205700","205700","BERKELEY",837,837
"g16","srprec",1,"06001","06001205800","205800","BERKELEY",683,683
"g16","srprec",1,"06001","06001205900","205900","BERKELEY",753,753
"g16","srprec",1,"06001","06001206000","206000","BERKELEY",616,616
"g16","srprec",1,"06001","06001206100","206100","BERKELEY",760,760
"g16","srprec",1,"06001","06001206200","206200","BERKELEY",671,671
"g16","srprec",1,"06001","06001206300","206300","BERKELEY",748,749
"g16","srprec",1,"06001","06001206400","206400","BERKELEY",741,741
"g16","srprec",1,"06001","06001206600","206600","BERKELEY",923,923
"g16","srprec",1,"06001","06001206900","206900","BERKELEY",434,434
"g16","srprec",1,"06001","06001207000","207000","BERKELEY",829,829
"g16","srprec",1,"06001","06001207010","207010","BERKELEY",836,836
"g16","srprec",1,"06001","06001207100","207100","BERKELEY",328,328
"g16","srprec",1,"06001","06001207200","207200","BERKELEY",633,633
"g16","srprec",1,"06001","06001207300","207300","BERKELEY",620,620
"g16","srprec",1,"06001","06001207500","207500","BERKELEY",959,959
"g16","srprec",1,"06001","06001207600","207600","BERKELEY",970,975
"g16","srprec",1,"06001","06001207700","207700","BERKELEY",1441,1441
"g16","srprec",1,"06001","06001208000","208000","BERKELEY",677,678
"g16","srprec",1,"06001","06001208010","208010","BERKELEY",1178,1178
