	(1)	(2)	(3)	(4)
VARIABLES	aIndv	aIndv	aIndv	aIndv
				
aCorp	-1.264***	-1.262***	-0.759***	-0.684***
	(0.244)	(0.246)	(0.233)	(0.252)
aTot	0.580***	0.579***	0.402***	0.410***
	(0.132)	(0.132)	(0.107)	(0.152)
aDemRec				0.161
				(0.298)
aRepRec				-0.833
				(0.507)
aIndRec				0.158
				(0.248)
meanCFCand				-27,591
				(30,607)
meanCFCont				1,418
				(32,892)
aIndvTech			0.755***	1.697***
			(0.157)	(0.553)
aIndvBigTech			7.136**	5.370**
			(3.409)	(2.451)
aCorpTech			-13.68*	-13.31*
			(7.998)	(7.762)
count			15.77	96.68
			(39.66)	(125.1)
nCorp			-304.3	-2,839
			(2,152)	(2,767)
nIndvTech			318.2	141.5
			(287.8)	(151.8)
nIndvBigTech			1,185	1,583
			(1,243)	(1,056)
nCorpBigTech			-1,755	-1,241
			(1,705)	(1,628)
nComRec				-95.96
				(100.7)
nDemRec				-82.73
				(152.1)
nRepRec				2,215**
				(1,078)
nIndRec				-541.3
				(362.8)
year1		-138,723**	126,890	208,499***
		(65,998)	(126,460)	(78,575)
year2		-148,247**	122,687	231,531***
		(72,045)	(130,464)	(87,622)
year3		-142,458**	126,536	240,449***
		(66,000)	(127,726)	(89,840)
year4		-138,807**	134,636	230,487***
		(62,886)	(127,049)	(82,775)
year5		-112,933**	156,417	225,050***
		(53,447)	(123,639)	(81,098)
year6		-107,182**	141,496	197,254***
		(50,579)	(117,601)	(70,376)
year7		-78,243**	168,989	171,047***
		(35,450)	(114,894)	(60,081)
year8		-94,968**	151,188	193,019***
		(41,210)	(113,742)	(68,964)
year9		-67,070**	176,118	180,935***
		(30,404)	(113,833)	(57,189)
year10		-36,982	223,388*	150,315**
		(30,140)	(117,598)	(64,707)
year11		-107,145***	170,119	138,196**
		(41,421)	(137,014)	(66,826)
year12		-57,288	191,762	144,239
		(43,697)	(164,852)	(106,955)
year13		-24,779	237,477*	172,332**
		(54,528)	(142,605)	(85,701)
year14		110,442	295,954*	223,056*
		(134,964)	(179,521)	(114,680)
year15		-39,373	148,382	-123,008
		(76,277)	(143,493)	(123,353)
year16		49,203	109,090	-11,988
		(68,108)	(128,578)	(101,327)
year17		86,098	261,746*	10,396
		(106,669)	(155,122)	(83,124)
year18		-9,483	150,908	143,548*
		(65,141)	(154,905)	(79,240)
year19		170,482*	116,126**	-219,507*
		(93,082)	(50,699)	(118,343)
o.year20		-	-	-
				
o.aIndvBigTech			-	
				
Constant	70,315	93,949	-130,450	-167,145***
	(78,090)	(71,184)	(103,394)	(61,355)
				
Observations	21,269	21,269	21,269	21,269
R-squared	0.659	0.660	0.782	0.814
Number of id	1,475	1,475	1,475	1,475
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
