	(1)	(2)	(3)	(4)
VARIABLES	nIndv	nIndv	nIndv	nIndv
				
aTot			-1.94e-05***	-7.54e-05**
			(6.52e-06)	(3.19e-05)
aCorp			1.04e-06	-5.02e-06
			(1.41e-05)	(8.05e-06)
aComRec				6.51e-05**
				(3.26e-05)
meanCFCand				4.279**
				(1.858)
meanCFCont				-2.390
				(1.887)
aIndvTech			2.39e-05***	4.96e-05***
			(7.97e-06)	(1.87e-05)
aIndvBigTech			0.000381**	0.000396***
			(0.000167)	(0.000131)
aCorpTech			-0.000772	-0.000741
			(0.000475)	(0.000451)
count		0.997***	0.997***	1.017***
		(0.00198)	(0.00275)	(0.0143)
nCorp	6.458***	-2.822***	-2.354***	-2.297***
	(2.397)	(0.211)	(0.167)	(0.189)
nIndvTech			0.0222	0.00657
			(0.0191)	(0.00831)
nIndvBigTech			0.113*	0.0933*
			(0.0658)	(0.0482)
nCorpBigTech			-0.0980	-0.0517
			(0.136)	(0.0846)
nComRec				-0.0205
				(0.0132)
nDemRec				-0.00942
				(0.0135)
nRepRec				0.104*
				(0.0543)
nIndRec				-0.0349**
				(0.0136)
year1		-15.36*	3.054	2.092
		(9.201)	(9.470)	(7.789)
year2		-16.18*	2.577	2.617
		(9.362)	(8.968)	(7.457)
year3		-16.12*	1.625	1.347
		(9.491)	(8.476)	(7.248)
year4		-7.846	8.729	7.089
		(9.748)	(9.840)	(8.152)
year5		-8.656	7.062	4.954
		(8.525)	(8.861)	(7.473)
year6		-6.194	7.579	4.580
		(7.900)	(8.069)	(6.797)
year7		-6.191	6.746	2.148
		(7.315)	(7.419)	(6.668)
year8		-6.112	6.736	4.103
		(7.452)	(7.691)	(6.874)
year9		-5.760	5.774	-0.959
		(6.321)	(6.220)	(5.220)
year10		12.98*	15.83***	10.14*
		(7.402)	(5.485)	(6.112)
year11		0.724	3.739	-3.477
		(8.318)	(6.129)	(6.807)
year12		-1.760	-7.269	-13.31*
		(11.88)	(6.781)	(6.964)
year13		1.470	2.403	-10.19
		(12.89)	(8.543)	(6.554)
year14		14.12	17.59*	2.982
		(12.36)	(10.40)	(8.034)
year15		16.79	11.96	-12.71**
		(15.49)	(10.09)	(5.401)
year16		-3.979	-9.577	-22.03***
		(12.49)	(6.370)	(5.873)
year17		12.63	10.58	-7.135
		(13.28)	(10.46)	(4.898)
year18		-1.308	-5.598	-8.793
		(9.633)	(6.407)	(5.398)
year19		6.042*	3.784	-21.59**
		(3.524)	(2.404)	(9.260)
o.year20		-	-	-
				
o.aIndvBigTech			-	
				
Constant	950.7***	15.54*	1.805	4.034
	(101.7)	(8.013)	(7.879)	(6.003)
				
Observations	21,269	21,269	21,269	21,269
R-squared	0.041	1.000	1.000	1.000
Number of id	1,475	1,475	1,475	1,475
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
