	(1)	(2)	(3)	(4)	(5)
VARIABLES	N	mean	sd	min	max
					
v1	916	458.5	264.6	1	916
yr	916	2,012	3.993	2,006	2,018
area	916	37.40	52.86	3.580	468.7
count	916	18,158	55,162	290	827,884
nIndv	916	16,914	52,944	252	816,704
nCorp	916	461.3	1,723	0	16,809
nIndvTech	916	2,208	6,606	17	90,506
nIndvBigTech	916	230.3	878.2	0	11,875
nCorpBigTech	916	34.14	219.7	0	5,636
nDemRec	916	8,389	30,438	39	584,847
nRepRec	916	1,263	2,994	8	35,343
nIndRec	916	174.5	943.7	0	19,914
nComRec	916	11,885	35,655	208	570,116
nGen	916	0.0516	0.0795	0	0.429
aTot	916	1.050e+07	5.052e+07	9,282	7.563e+08
aIndv	916	4.156e+06	1.957e+07	9,282	2.437e+08
aCorp	916	2.120e+06	1.395e+07	0	3.030e+08
aIndvBigTech	916	44,766	211,526	0	2.589e+06
aIndvTech	916	397,686	1.556e+06	-100,063	2.004e+07
aCorpTech	916	18,553	100,757	0	1.393e+06
aDemRec	916	2.755e+06	1.310e+07	2,349	1.429e+08
aRepRec	916	1.548e+06	5.888e+06	722.3	7.362e+07
aIndRec	916	527,228	5.721e+06	-229	1.315e+08
aComRec	916	7.615e+06	3.895e+07	5,737	6.266e+08
aGen	916	395,683	3.223e+06	-2,426	6.958e+07
meanCFCont	916	-0.616	0.438	-1.616	0.907
sdCFCont	916	0.915	0.186	0.351	1.542
meanCFCand	916	-0.391	0.348	-1.210	0.888
sdCFCand	916	-0.391	0.348	-1.210	0.888
meanCFDiff	916	-0.0462	0.0287	-0.163	0.0566
sdCFDiff	916	0.270	0.0673	0.0820	0.486
vReg	916	2.173e+06	2.897e+06	367,929	3.408e+07
vTurn	916	1.361e+06	1.830e+06	109,896	2.102e+07
popDen	916	134,171	320,573	931.4	3.990e+06
SE_A00003_001	916	41.12	59.37	3.509	502.7
SE_A00003_002	916	37.01	52.76	3.509	469.1
SE_A00003_003	916	4.107	17.43	0	185.2
SE_A02002_002	916	89,591	181,016	28,998	1.995e+06
SE_A02002_003	916	6,327	12,318	687	146,203
SE_A02002_004	916	6,070	11,272	930	126,660
SE_A02002_005	916	6,206	11,357	819	139,548
SE_A02002_006	916	3,800	6,932	471	80,257
SE_A02002_007	916	9,612	20,266	914	220,136
SE_A02002_008	916	14,553	32,527	1,952	379,769
SE_A02002_009	916	13,075	28,037	2,312	310,757
SE_A02002_010	916	11,964	24,138	2,103	271,871
SE_A02002_011	916	9,088	17,994	1,160	217,902
SE_A02002_012	916	5,201	10,217	392	134,233
SE_A02002_013	916	2,709	5,429	143	60,615
SE_A02002_014	916	985.7	2,087	0	25,545
SE_A02002_015	916	91,063	182,589	29,179	2.016e+06
SE_A02002_016	916	6,052	11,808	446	141,681
SE_A02002_017	916	5,814	10,901	886	125,335
SE_A02002_018	916	5,903	10,955	925	130,407
SE_A02002_019	916	3,621	6,734	401	79,058
SE_A02002_020	916	9,212	19,504	835	215,226
SE_A02002_021	916	13,833	30,419	1,619	352,769
SE_A02002_022	916	12,830	26,351	2,842	291,218
SE_A02002_023	916	12,133	23,827	2,897	264,747
SE_A02002_024	916	9,818	19,721	1,107	234,044
SE_A02002_025	916	6,194	12,429	662	161,377
SE_A02002_026	916	3,748	7,556	228	86,447
SE_A02002_027	916	1,904	3,828	0	45,432
age5p	916	168,275	339,751	56,206	3.762e+06
age10p	916	156,391	317,874	50,106	3.543e+06
age15p	916	144,282	295,987	44,794	3.316e+06
age18p	916	136,861	282,633	41,150	3.186e+06
age20p	916	131,698	272,229	38,621	3.081e+06
age21p	916	128,910	266,453	37,006	3.022e+06
age22p	916	126,168	260,785	36,079	2.966e+06
age25p	916	118,037	243,417	32,216	2.785e+06
age30p	916	103,498	211,269	26,595	2.405e+06
age35p	916	89,651	180,718	21,886	2.052e+06
age40p	916	76,409	152,620	17,239	1.746e+06
age45p	916	63,746	126,640	12,655	1.478e+06
age50p	916	51,335	102,088	7,948	1.217e+06
age55p	916	39,649	78,956	5,674	964,373
age60p	916	29,355	58,589	3,663	725,516
age62p	916	25,600	51,029	2,766	633,038
age65p	916	20,743	41,345	1,773	512,427
age67p	916	17,853	35,568	1,551	441,138
age70p	916	14,183	28,326	1,254	342,248
age75p	916	9,348	18,820	645	216,817
age80p	916	5,688	11,548	335	130,989
age85p	916	2,890	5,898	66	69,755
SE_A01004_001	916	35.18	4.291	24.60	50.70
SE_A01004_002	916	34.02	4.197	22.60	47.90
SE_A01004_003	916	36.37	4.516	24.30	53.90
SE_A10008_001	916	59,808	125,893	13,733	1.382e+06
SE_A10008_002	916	39,933	75,315	11,108	823,799
SE_A10008_003	916	27,952	49,270	6,628	531,499
SE_A10008_004	916	11,981	26,482	1,564	301,434
SE_A10008_005	916	3,649	8,254	324	94,618
SE_A10008_006	916	8,332	18,266	689	207,462
SE_A10008_007	916	19,875	51,408	1,360	564,674
SE_A10008_008	916	9,531	25,760	148	280,117
SE_A10008_009	916	10,344	25,685	553	284,557
SE_A10024_001	916	59,808	125,893	13,733	1.382e+06
SE_A10024_002	916	15,096	38,549	735	421,527
SE_A10024_003	916	17,300	36,314	1,692	403,076
SE_A10024_004	916	9,898	19,306	1,873	215,361
SE_A10024_005	916	8,971	16,594	2,029	182,425
SE_A10024_006	916	4,720	8,915	330	99,146
SE_A10024_007	916	2,130	4,067	46	45,803
SE_A10024_008	916	1,694	3,525	0	46,373
SE_A10002B_001	916	29,663	77,550	2,803	884,311
